poll_id,numeric_grade,pollscore,methodology,transparency_score,duration,sample_size,population,hypothetical,score
1,4.42,1.6,level1,7.6,113,100,rv,FALSE,42.55
2,5.75,1,level3,6.9,271,643,lv,FALSE,54.36
3,10,4,level1,6.7,170,100,v,FALSE,45.4
4,6.95,3.6,level2,6.6,71,100,v,FALSE,44.66
5,7.18,0.2,level2,7.9,229,5118,lv,FALSE,58.17
6,10,2.4,level1,4.5,335,5704,v,TRUE,40.45
7,8.51,1.2,level3,4.3,226,100,a,FALSE,47.87
8,1.61,0,level1,6.9,202,100,a,TRUE,28.53
9,3.92,2.7,level2,5.8,117,100,rv,TRUE,32.19
10,4.88,2.4,level3,6.1,240,2782,a,FALSE,44.98
11,10,2.4,level1,7.1,76,1052,a,FALSE,43.46
12,8.11,2.8,level1,7.1,18,100,lv,FALSE,46.59
13,8.27,3.8,level2,5.6,179,100,lv,TRUE,38.86
14,7.11,2.8,level2,5.5,180,100,rv,TRUE,35.61
15,4.44,1.6,level3,6.1,365,3382,v,FALSE,53.59
16,10,1.4,level2,7.6,61,4055,a,TRUE,41.81
17,8.66,2.3,level3,6.6,200,3082,lv,TRUE,48.96
18,0,3,level2,8.1,264,100,rv,FALSE,41.74
19,9.47,0.9,level4,6,288,100,lv,FALSE,60.45
20,4.78,2.2,level4,7.7,182,3854,rv,TRUE,46.1
21,2.4,4,level4,7.3,109,315,rv,TRUE,36.79
22,5.79,2.3,level1,6.9,176,1003,lv,FALSE,46.15
23,2.56,1.5,level1,6.6,365,6361,lv,FALSE,49.31
24,3.75,2.1,level1,5.6,231,100,lv,FALSE,43.56
25,4.17,4.2,level2,5.8,15,6920,rv,FALSE,43.92
26,0,3.3,level1,6.3,325,100,v,TRUE,27.25
27,10,4.4,level4,6.1,237,100,a,TRUE,41.07
28,7.28,2.7,level3,7.4,180,171,a,FALSE,47.78
29,2.11,3.1,level2,5.8,181,3150,lv,FALSE,47.62
30,10,1.7,level4,5.9,168,164,v,FALSE,55.88
31,8.37,3.4,level3,5.3,209,100,rv,TRUE,39.36
32,5.49,1.7,level4,5.8,133,100,v,FALSE,50.92
33,10,0.4,level3,5.9,211,100,v,FALSE,54.61
34,10,2.7,level2,2.5,90,100,v,FALSE,44.7
35,9.95,5.4,level3,4,203,3480,rv,TRUE,41.58
36,9.42,3.7,level4,5.9,294,354,v,FALSE,54.56
37,8.88,4.2,level3,5.6,234,4642,v,FALSE,53.62
38,6.42,3,level3,4.2,286,3630,v,FALSE,51.48
39,5.44,1.6,level3,3,74,4428,v,FALSE,48.58
40,5.14,2.2,level2,5.5,188,4480,rv,TRUE,38.32
41,3.89,2.1,level2,7,245,100,v,TRUE,35.24
42,5.83,1.8,level3,8.7,76,1221,lv,TRUE,43.49
43,1.61,3.6,level4,5.9,340,9350,v,FALSE,54.31
44,10,0.7,level1,8.2,80,100,rv,FALSE,49.3
45,10,3.8,level2,6.1,199,3464,lv,TRUE,45.29
46,2.17,3.8,level2,6.2,198,1917,rv,FALSE,40.55
47,5.06,0.7,level2,6.5,195,3985,lv,FALSE,53.81
48,4.8,3.5,level4,4.7,162,100,rv,FALSE,47.62
49,9.79,6.1,level1,5.9,228,100,a,FALSE,39.87
50,6.33,1.7,level1,7.4,80,1560,v,FALSE,43.83
51,7.68,3.8,level1,4.9,54,2239,a,FALSE,37.32
52,6.55,1.3,level1,5.5,118,273,rv,FALSE,42.93
53,6.5,4.2,level2,4.3,177,1357,lv,FALSE,45.37
54,10,2.9,level2,6.5,309,3257,v,FALSE,54.69
55,5.76,5,level4,6.6,342,100,a,FALSE,47.78
56,10,0.3,level2,7,215,6898,a,FALSE,53.85
57,0.47,2.4,level2,4.2,221,12204,lv,FALSE,48.48
58,9.01,1.7,level3,6.2,159,8586,a,FALSE,56.1
59,7.16,2.2,level2,4.6,188,100,rv,TRUE,35.44
60,7.53,1.6,level2,6,43,100,v,TRUE,36.36
