"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology","pct"
88802,3.4,6,2.2,2,1254,"lv","false","level3",49
88803,4.7,0,7.8,34,400,"lv","false","level2",41.3
88804,4.7,0,7.8,36,400,"lv","false","level2",66.1
88793,3.4,6,2.2,2,1223,"lv","false","level3",47
88781,4.7,0,3.3,7,600,"lv","false","level3",47
88781,4.7,0,3.3,7,600,"lv","false","level3",46
88766,4.7,4.7,3.3,1,571,"lv","false","level2",40
88767,4.7,4.7,3.3,1,716,"lv","false","level2",41
88764,3.4,6,2.2,2,1257,"lv","false","level3",47
88778,4.7,0,5,2,1045,"lv","false","level3",48.6
88769,3.4,7.7,4.4,3,788,"lv","false","level3",52
88794,2.2,9,5.6,5,4180,"lv","false","level1",50.7
88794,2.2,9,5.6,5,4180,"lv","false","level1",50.8
88795,2.2,9,5.6,5,1440,"lv","false","level1",49.2
88795,2.2,9,5.6,5,1440,"lv","false","level1",49.2
88796,2.2,9,5.6,5,1411,"lv","false","level1",49.5
88796,2.2,9,5.6,5,1411,"lv","false","level1",50.1
88797,2.2,9,5.6,5,1529,"lv","true","level1",49.6
88797,2.2,9,5.6,5,1529,"lv","false","level1",50.2
88798,2.2,9,5.6,5,1171,"lv","false","level1",48.4
88798,2.2,9,5.6,5,1171,"lv","false","level1",48.3
88799,2.2,9,5.6,5,1674,"lv","false","level1",48.8
88799,2.2,9,5.6,5,1674,"lv","false","level1",48.8
88800,2.2,9,5.6,5,2048,"lv","false","level1",49.8
88800,2.2,9,5.6,5,2048,"lv","false","level1",49.9
88801,2.2,9,5.6,5,932,"lv","true","level1",48.2
88801,2.2,9,5.6,5,932,"lv","false","level1",48.4
88779,4.7,0,3.3,6,600,"lv","false","level3",45
88779,4.7,0,3.3,6,600,"lv","false","level3",43
88780,4.7,0,3.3,6,600,"lv","false","level3",49
88780,4.7,0,3.3,6,600,"lv","false","level3",48
88772,4.7,0,7.8,8,1000,"lv","false","level2",51.1
88771,4.7,0,7.8,16,400,"lv","false","level2",50.7
88770,4.7,0,7.8,38,400,"lv","false","level2",58.4
88739,3.4,6,2.2,2,1228,"lv","false","level3",46
88765,1.2,9.7,6.7,2,1000,"lv","false","level2",49.2
88774,5.3,3.7,0,2,800,"lv","false","level3",46
88775,3.4,7.7,4.4,2,2950,"lv","false","level3",49
88783,3.4,6,2.2,2,1029,"rv","false","level3",45.8
88783,3.4,6,2.2,2,813,"lv","false","level3",48.5
88783,3.4,6,2.2,2,1029,"rv","false","level3",44.8
88783,3.4,6,2.2,2,813,"lv","false","level3",48.5
88762,1.2,10,8.9,5,1435,"lv","false","level3",51
88756,3.4,7.7,4.4,6,787,"lv","false","level3",50
88760,3.4,7.7,4.4,6,789,"lv","false","level3",49
88782,4.7,0,1.1,19,2540,"rv","false","level3",47
