"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology","pct"
87159,5.3,4.7,2.2,22,609,"rv","true","level4",43
86742,2.8,9.3,10,5,967,"rv","true","level4",42
87048,4.1,8,5.6,1,697,"lv","true","level3",49
88406,0,10,8.9,5,680,"rv","false","level4",45
82663,1.9,9.3,0,3,1005,"a","true","level4",36
86244,4.4,5,5.6,4,3021,"rv","true","level3",43
87394,2.5,8.7,3.3,2,800,"rv","false","level4",47
87882,1.2,9.7,6.7,2,965,"rv","false","level2",46.4
85442,3.7,6.3,2.2,2,4000,"rv","true","level3",44
84859,4.4,5,5.6,4,2018,"rv","true","level3",53
79924,5.9,6,0,0,1500,"rv","false","level3",35
87496,4.7,0,7.8,0,500,"lv","true","level1",41
86565,4.7,6.7,8.9,2,1000,"a","true","level3",41
88045,6.6,3.7,4.4,2,822,"rv","false","level2",47.6
82225,3.7,6.3,0,3,2000,"rv","true","level3",41
88056,3.7,6.3,2.2,2,10673,"lv","false","level3",46
87249,0,10,8.9,5,1226,"lv","true","level4",40
86472,3.1,9.3,8.9,4,1487,"rv","true","level4",41
86807,4.7,6,4.4,8,515,"lv","true","level3",39.9
87635,1.2,9.7,6.7,2,1000,"rv","false","level3",47.6
87512,4.7,4.7,3.3,1,596,"rv","true","level2",47
82650,4.4,5,0,1,1845,"rv","false","level3",48
86253,0,10,8.9,3,980,"rv","false","level4",47
87528,4.7,0,5.6,2,711,"lv","false","level2",48.9
88413,2.2,9,5.6,5,1775,"lv","false","level1",50.6
83861,3.7,6.3,0,2,5000,"rv","true","level3",40
87940,4.4,5.7,6.1,2,400,"lv","false","level3",48
86730,1.6,9.7,7.8,4,500,"lv","true","level4",22
86709,3.7,6.3,2.2,2,9791,"rv","true","level3",43
87403,0,10,8.9,2,872,"lv","true","level4",48
88108,3.7,6.3,2.2,2,10145,"lv","false","level3",46
87946,1.9,9.3,9.4,7,3562,"rv","false","level4",41
86195,3.7,6.3,2.2,2,6224,"rv","true","level3",44
83839,3.7,6.3,0,2,5000,"rv","true","level3",41
86061,4.7,0,5.6,11,10192,"a","true","level3",39
84812,3.7,6.3,2.2,2,4000,"rv","true","level3",41
88771,4.7,0,7.8,16,400,"lv","false","level2",50.7
88815,2.2,9,8.9,15,695,"lv","false","level2",47
87740,3.7,6.3,2.2,2,9795,"lv","false","level3",45
86720,3.7,6.3,2.2,7,708,"rv","true","level3",45
88389,3.7,6.3,2.2,6,849,"rv","false","level3",48
87521,4.4,5,5.6,2,2753,"rv","true","level3",46
82832,1.2,10,0,3,1500,"a","true","level3",41
79426,1.2,7,0,1,600,"lv","true","level2",51.1
84085,4.1,8.3,0,5,6030,"rv","true","level1",31
83740,3.7,6.3,0,2,5000,"rv","true","level3",42
86922,5.3,3.7,6.7,3,1318,"lv","true","level3",50
82814,10,4,0,2,1009,"a","true","level3",40.8
88636,3.7,6.7,4.4,1,800,"lv","false","level3",48
88665,0,10,8.9,3,808,"lv","false","level4",50
88941,5.3,3.7,0,3,600,"lv","false","level3",52
88579,3.7,6.7,4.4,1,800,"lv","false","level3",49
86502,1.2,9.7,6.7,4,1000,"rv","true","level2",43.2
86527,4.4,5,6.7,1,2271,"rv","true","level3",43
86741,1.2,10,8.9,6,1226,"lv","true","level3",48
84792,3.7,6.3,2.2,2,4000,"rv","true","level3",42
87960,5.3,5,3.3,6,600,"lv","true","level2",48.1
88631,0.9,8.7,10,5,6152,"lv","false","level3",45
85585,1.9,9.3,9.4,6,4677,"a","true","level4",30
88616,0.9,10,8.9,4,1002,"rv","false","level3",51
74869,1.2,10,0,2,1588,"a","true","level3",36
87195,4.7,4.7,3.3,1,555,"v","true","level2",41
81627,5,6,6.7,4,904,"rv","true","level3",48
83744,3.7,6.3,0,2,5000,"rv","true","level3",43
87153,4.7,0,5.6,1,883,"rv","true","level2",46
88243,1.2,7,3.3,1,600,"lv","false","level3",45.6
