"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology","pct"
88204,4.7,0,4.4,5,1054,"lv","true","level2",51
88006,4.7,0,4.4,3,3154,"lv","true","level3",52
87899,2.2,9,8.9,2,1031,"lv","true","level3",46
87894,4.7,0,8.9,0,800,"rv","true","level3",41
87894,4.7,0,8.9,0,713,"lv","true","level3",43
87947,5,6,6.7,5,1200,"rv","true","level3",35
87947,5,6,6.7,5,988,"lv","true","level3",39
87540,5.6,3.7,2.2,3,147,"lv","true","level4",39
87540,5.6,3.7,2.2,3,147,"lv","true","level4",35
87529,1.2,10,8.9,3,1178,"rv","true","level3",41
87529,1.2,10,8.9,3,1115,"rv","true","level3",45
87518,4.7,0,7.8,1,500,"lv","true","level1",46
87520,2.2,9,8.9,2,982,"lv","true","level3",49
87520,2.2,9,8.9,2,982,"lv","true","level3",42
87521,4.4,5,5.6,2,2753,"rv","true","level3",47
87521,4.4,5,5.6,2,2169,"lv","true","level3",46
87521,4.4,5,5.6,2,2753,"rv","true","level3",37
87521,4.4,5,5.6,2,2169,"lv","true","level3",38
87521,4.4,5,5.6,2,2753,"rv","true","level3",37
87521,4.4,5,5.6,2,2169,"lv","true","level3",38
87524,3.1,9.3,8.9,2,1257,"rv","true","level4",45
87524,3.1,9.3,8.9,2,1257,"rv","true","level4",39
87528,4.7,0,5.6,2,780,"rv","true","level2",39.8
87528,4.7,0,5.6,2,711,"lv","true","level2",41.2
87528,4.7,0,5.6,2,780,"rv","true","level2",35.5
87528,4.7,0,5.6,2,711,"lv","true","level2",36.6
87532,4.7,0,3.3,7,1030,"rv","true","level3",41
87532,4.7,0,3.3,7,1030,"rv","true","level3",35
87525,4.7,4.7,3.3,1,736,"rv","true","level2",40
87525,4.7,4.7,3.3,1,736,"rv","true","level2",44
87526,4.7,4.7,3.3,1,573,"rv","true","level2",42
87526,4.7,4.7,3.3,1,573,"rv","true","level2",46
87496,4.7,0,7.8,0,500,"lv","true","level1",52
87485,4.7,4.7,3.3,1,624,"rv","true","level2",42
87485,4.7,4.7,3.3,1,624,"rv","true","level2",44
87486,4.7,4.7,3.3,1,650,"rv","true","level2",44
87486,4.7,4.7,3.3,1,650,"rv","true","level2",46
87483,1.2,10,8.9,2,2241,"lv","true","level3",47
87491,1.6,9.7,7.8,2,500,"rv","true","level4",47.2
87498,5.9,6,8.9,2,412,"lv","true","level3",41
87499,5.9,6,8.9,2,688,"lv","true","level3",41
87502,5.9,6,8.9,2,461,"lv","true","level3",39
87503,5.9,6,8.9,2,454,"lv","true","level3",40
87504,5.9,6,8.9,2,471,"lv","true","level3",39
87505,5.9,6,8.9,2,618,"lv","true","level3",40
87506,5.9,6,8.9,2,437,"lv","true","level3",41
87507,5.9,6,8.9,2,470,"lv","true","level3",42
87510,4.1,7.3,6.7,9,1000,"lv","true","level4",44.8
87510,4.1,7.3,6.7,9,1000,"lv","true","level4",41.8
87501,4.7,0,7.8,23,400,"lv","true","level2",45.6
87481,4.7,0,7.8,0,800,"lv","true","level1",45
87478,3.7,6.3,2.2,2,9414,"rv","true","level3",42
87489,6.6,2.3,3.3,2,1091,"lv","true","level2",43
87490,6.6,2.3,3.3,2,1087,"lv","true","level2",43
87495,4.7,0,2.2,2,2402,"lv","true","level3",43
87798,4.1,7,5.6,5,500,"rv","true","level3",45
87433,1.9,9.3,9.4,1,992,"rv","true","level4",41
87433,1.9,9.3,9.4,1,1202,"a","true","level4",36
87433,1.9,9.3,9.4,1,1202,"a","true","level4",34
87433,1.9,9.3,9.4,1,992,"rv","true","level4",39
87451,1.2,9.7,6.7,1,2000,"rv","true","level2",41.6
87451,1.2,9.7,6.7,1,2000,"rv","true","level2",37.8
87453,1.2,9.7,6.7,1,1000,"rv","true","level2",40.3
87453,1.2,9.7,6.7,1,1000,"rv","true","level2",36
87454,1.2,9.7,6.7,1,1000,"rv","true","level2",41
87454,1.2,9.7,6.7,1,1000,"rv","true","level2",38.7
87455,1.2,9.7,6.7,1,1000,"rv","true","level2",42.1
87455,1.2,9.7,6.7,1,1000,"rv","true","level2",39.9
87456,1.2,9.7,6.7,1,1000,"rv","true","level2",40.9
