"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology","pct"
83709,3.7,6.3,0,2,5000,"rv","true","level3",42
83269,3.7,6.3,0,2,6000,"rv","true","level3",43
84293,4.1,5.3,0,5,1062,"lv","true","level3",43
87001,3.1,9.3,8.9,4,1374,"rv","true","level4",48
87348,3.7,6.3,2.2,2,4000,"rv","true","level3",42
82450,5.9,6,0,0,1500,"rv","true","level3",42
84821,2.2,9,8.9,3,1006,"lv","true","level3",41
86546,3.7,6.3,2.2,4,788,"rv","true","level3",38
81109,1.2,10,7.8,4,1209,"rv","true","level3",46
86272,3.7,6.3,2.2,2,4000,"rv","true","level3",43
86181,1.2,9.7,6.7,4,1000,"rv","true","level2",44
86586,4.7,0,5.6,7,600,"rv","true","level3",44
80603,2.2,9,0,7,392,"lv","true","level3",41
86882,1.2,9.7,6.7,2,1115,"rv","true","level2",49.9
83028,10,4,0,5,2020,"a","true","level3",38.7
85483,5.3,5.3,5.6,5,984,"lv","true","level3",36
82848,4.4,5,0,1,2004,"rv","true","level3",40
86562,4.4,5,5.6,0,1010,"rv","true","level3",50
86495,1.9,9.7,6.7,3,1197,"rv","true","level3",48
86715,1.2,10,8.9,7,4038,"rv","true","level3",44
87323,4.4,7,8.3,10,2000,"rv","true","level3",41
86560,1.2,9.3,5.6,3,1094,"rv","true","level3",45
84666,3.4,8,5.6,6,1010,"rv","true","level3",37
85994,4.7,0,10,6,1000,"rv","true","level2",28
82627,1.2,10,0,3,1500,"a","true","level3",37
84467,4.4,5,6.7,0,2116,"rv","true","level3",48
83737,3.7,6.3,0,2,5000,"rv","true","level3",44
85826,2.8,9.3,10,5,983,"rv","true","level4",45
85438,0,10,8.9,4,1016,"rv","true","level4",44
84834,4.7,6.7,8.9,2,1001,"a","true","level3",37
87416,4.4,7,8.9,9,755,"rv","true","level4",37.1
82424,5,6.3,0,5,1509,"rv","true","level2",41
85533,5,6,6.7,14,1187,"rv","true","level3",23
83031,4.4,5,0,1,2090,"rv","true","level3",39
86963,1.2,10,8.9,6,1174,"lv","true","level3",36
84730,3.7,6.3,2.2,2,4000,"rv","true","level3",43
87173,9.7,1.7,3.3,2,600,"lv","true","level3",45
82625,1.2,10,0,3,1027,"rv","true","level3",45
86469,0.6,9.3,7.8,5,1241,"rv","true","level3",38
83205,4.7,0,0,14,500,"rv","true","level3",50
83729,3.7,6.3,0,2,5000,"rv","true","level3",43
86923,5.3,3.7,6.7,5,817,"lv","true","level3",37.7
86699,3.7,6.3,2.2,2,4000,"rv","true","level3",44
82450,5.9,6,0,0,1500,"rv","true","level3",41
84684,1.2,9.7,6.7,3,917,"rv","true","level2",39.9
86522,4.7,0,4.4,14,1001,"lv","true","level2",47.3
82451,4.4,5,0,1,2905,"rv","true","level3",42
82402,1.2,9.7,0,2,1153,"rv","true","level2",43.3
87248,1.2,10,10,8,871,"rv","true","level2",40
81980,4.4,5.7,0,6,1035,"lv","true","level4",49
86274,4.7,0,1.1,2,601,"rv","true","level3",39
87601,2.2,9,8.9,7,601,"lv","true","level3",39
87303,4.7,0,5.6,3,1500,"rv","true","level3",42
86235,3.7,6.3,2.2,6,803,"rv","true","level3",36
83042,5.6,5.3,0,2,500,"rv","true","level4",41
84453,3.7,6.3,2.2,5,503,"rv","true","level3",46
86952,1.9,9.3,9.4,7,3208,"rv","true","level4",46
85493,1.2,10,8.9,2,1343,"rv","true","level3",41
87377,1.9,9.7,6.7,1,1174,"rv","true","level4",50
87159,5.3,4.7,2.2,22,609,"rv","true","level4",40
82683,5,4.7,0,3,1250,"rv","true","level3",41.5
87380,5.6,3.7,2.2,4,600,"lv","true","level4",36
87334,3.1,6,0,7,800,"rv","true","level4",50
87356,4.7,0,5,6,7320,"a","true","level3",30
85729,3.7,6.3,2.2,2,4000,"rv","true","level3",42
87499,5.9,6,8.9,2,688,"lv","true","level3",41
83316,2.2,9,0,3,1013,"lv","true","level3",44
