"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology","pct"
88802,3.4,6,2.2,2,1254,"lv","false","level3",47
88803,4.7,0,7.8,34,400,"lv","false","level2",58.7
88804,4.7,0,7.8,36,400,"lv","false","level2",33.9
88793,3.4,6,2.2,2,1223,"lv","false","level3",48
88781,4.7,0,3.3,7,600,"lv","false","level3",50
88781,4.7,0,3.3,7,600,"lv","false","level3",48
88766,4.7,4.7,3.3,1,571,"lv","false","level2",55
88767,4.7,4.7,3.3,1,716,"lv","false","level2",53
88764,3.4,6,2.2,2,1257,"lv","false","level3",49
88778,4.7,0,5,2,1045,"lv","false","level3",49.4
88769,3.4,7.7,4.4,3,788,"lv","false","level3",47
88794,2.2,9,5.6,5,4180,"lv","false","level1",47.6
88794,2.2,9,5.6,5,4180,"lv","false","level1",48.1
88795,2.2,9,5.6,5,1440,"lv","false","level1",48.6
88795,2.2,9,5.6,5,1440,"lv","false","level1",49.3
88796,2.2,9,5.6,5,1411,"lv","false","level1",48.1
88796,2.2,9,5.6,5,1411,"lv","false","level1",48.4
88797,2.2,9,5.6,5,1529,"lv","true","level1",46.8
88797,2.2,9,5.6,5,1529,"lv","false","level1",47.3
88798,2.2,9,5.6,5,1171,"lv","false","level1",48.1
88798,2.2,9,5.6,5,1171,"lv","false","level1",48.4
88799,2.2,9,5.6,5,1674,"lv","false","level1",49.5
88799,2.2,9,5.6,5,1674,"lv","false","level1",50.5
88800,2.2,9,5.6,5,2048,"lv","false","level1",46.5
88800,2.2,9,5.6,5,2048,"lv","false","level1",47.4
88801,2.2,9,5.6,5,932,"lv","true","level1",48.9
88801,2.2,9,5.6,5,932,"lv","false","level1",49
88779,4.7,0,3.3,6,600,"lv","false","level3",53
88779,4.7,0,3.3,6,600,"lv","false","level3",51
88780,4.7,0,3.3,6,600,"lv","false","level3",49
88780,4.7,0,3.3,6,600,"lv","false","level3",49
88772,4.7,0,7.8,8,1000,"lv","false","level2",48.9
88771,4.7,0,7.8,16,400,"lv","false","level2",49.3
88770,4.7,0,7.8,38,400,"lv","false","level2",41.6
88739,3.4,6,2.2,2,1228,"lv","false","level3",49
88765,1.2,9.7,6.7,2,1000,"lv","false","level2",49.5
88774,5.3,3.7,0,2,800,"lv","false","level3",45
88775,3.4,7.7,4.4,2,2950,"lv","false","level3",50
88783,3.4,6,2.2,2,1029,"rv","false","level3",48.8
88783,3.4,6,2.2,2,813,"lv","false","level3",48.3
88783,3.4,6,2.2,2,1029,"rv","false","level3",48.3
88783,3.4,6,2.2,2,813,"lv","false","level3",49
88762,1.2,10,8.9,5,1435,"lv","false","level3",48
88756,3.4,7.7,4.4,6,787,"lv","false","level3",49
88760,3.4,7.7,4.4,6,789,"lv","false","level3",49
88782,4.7,0,1.1,19,2540,"rv","false","level3",53
88741,4.7,0,7.8,20,400,"lv","false","level2",44.2
88742,4.7,0,7.8,22,400,"lv","false","level2",37.6
88743,4.7,0,7.8,40,400,"lv","false","level2",66.6
88715,3.4,6,2.2,2,1248,"lv","false","level3",50
88710,1.2,10,8.9,3,1457,"rv","false","level3",48
88710,1.2,10,8.9,3,1314,"lv","false","level3",49
88746,3.7,6.3,2.2,9,653,"lv","false","level3",49
88747,3.7,6.3,2.2,9,1002,"lv","false","level3",48
88748,3.7,6.3,2.2,9,490,"lv","false","level3",64
88749,3.7,6.3,2.2,9,1065,"lv","false","level3",49
88750,3.7,6.3,2.2,9,496,"lv","false","level3",49
