"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology","pct"
88622,3.4,8,5.6,2,2560,"rv","false","level3",47
88451,3.7,6.7,4.4,1,800,"lv","false","level3",48.4
88864,3.4,8,7.2,5,1412,"a","false","level3",48
88406,0,10,8.9,5,680,"rv","false","level4",48
88747,3.7,6.3,2.2,9,1002,"lv","false","level3",48
88038,4.7,0,3.3,4,1890,"lv","false","level3",52
78561,5.9,6,0,0,1500,"rv","false","level3",32
87893,3.4,6,2.2,2,1001,"rv","false","level3",46.4
87718,6.6,2.3,3.3,2,1082,"lv","true","level2",45.2
87790,3.4,6,2.2,2,976,"lv","false","level3",47.2
87776,4.7,0,7.8,7,1000,"lv","false","level2",52.4
87929,10,4,8.9,5,2020,"a","true","level3",42.2
87768,4.7,0,-1.1,7,411,"lv","false","level3",49
88328,3.1,9.3,8.9,3,1728,"lv","false","level4",47
88474,4.7,0,-1.1,6,474,"lv","false","level3",50
87403,0,10,8.9,2,872,"rv","false","level4",46
80586,4.4,5,0,1,1854,"rv","true","level3",41
88235,1.2,9.7,6.7,3,868,"lv","false","level2",48.7
87967,4.7,0,7.8,23,400,"lv","false","level2",57.8
87901,3.7,6.3,2.2,2,6905,"lv","false","level3",50
88045,6.6,3.7,4.4,2,822,"rv","false","level2",48.4
88590,1.2,10,8.9,1,1414,"rv","false","level3",47
88056,3.7,6.3,2.2,2,10673,"lv","false","level3",49
85969,1.2,9.7,6.7,1,1225,"rv","false","level2",42.7
87690,5.9,6,8.9,3,743,"lv","true","level3",44
88161,4.7,0,8.3,1,815,"lv","false","level3",46.8
88911,1.2,9.7,6.7,1,860,"lv","false","level3",49
88404,0,10,8.9,5,688,"lv","false","level4",48
87651,5.3,3.7,6.7,2,3097,"rv","false","level3",49.4
78297,9.7,1.7,0,5,1000,"lv","false","level3",40
80668,5.9,6,0,1,1163,"lv","false","level3",40
88812,2.2,9,8.9,15,652,"lv","false","level2",48
88069,3.4,6,2.2,2,1015,"rv","false","level3",46
87441,4.7,0,5.6,1,640,"rv","true","level2",37
88470,4.7,0,-1.1,6,411,"lv","false","level3",47
88413,2.2,9,5.6,5,1775,"lv","false","level1",48
88616,0.9,10,8.9,4,1002,"lv","false","level3",45
88169,6.6,2.3,3.3,1,1094,"lv","false","level2",46
87942,4.4,5.7,6.1,2,400,"lv","true","level3",47
88392,3.4,7.7,4.4,2,2952,"lv","false","level3",50
88461,1.2,9.7,6.7,1,920,"lv","false","level3",47.6
87297,1.9,9.3,9.4,1,892,"rv","false","level4",42
79596,1.2,10,0,4,1152,"rv","false","level3",45
88108,3.7,6.3,2.2,2,10145,"lv","false","level3",49
88110,3.7,6.3,2.2,2,10862,"lv","false","level3",49
87946,1.9,9.3,9.4,7,4253,"a","false","level4",41
88149,4.1,6.3,5.6,3,403,"rv","false","level3",53
88048,6.6,3.7,4.4,2,814,"rv","false","level2",48.3
88628,5.6,0,0,3,800,"lv","false","level3",47
87874,4.7,0,3.3,2,1200,"a","true","level3",44
87797,1.2,9.7,6.7,1,1000,"lv","false","level2",49.3
88771,4.7,0,7.8,16,400,"lv","false","level2",49.3
88815,2.2,9,8.9,15,695,"lv","false","level2",50
87721,0,10,8.9,3,693,"rv","true","level4",45
88387,3.7,6.3,2.2,6,828,"lv","false","level3",49
88871,3.7,6,3.9,1,400,"lv","false","level4",46.2
88389,3.7,6.3,2.2,6,849,"rv","false","level3",50
87473,4.7,0,5.6,1,301,"rv","false","level2",43
88853,3.7,6.3,2.2,2,8484,"lv","false","level3",50
88286,2.2,9.3,6.7,6,800,"lv","true","level3",51
88203,1.9,9.7,10,2,550,"lv","false","level3",46
88798,2.2,9,5.6,5,1171,"lv","false","level1",48.1
88636,3.7,6.7,4.4,1,800,"lv","false","level3",46
88665,0,10,8.9,3,808,"lv","false","level4",45
87659,4.1,5.3,0,4,995,"lv","false","level3",48
88941,5.3,3.7,0,3,600,"lv","false","level3",44
88565,3.7,6.3,2.2,2,11085,"lv","false","level3",50
88901,3.7,6.3,2.2,4,756,"rv","false","level3",48
88579,3.7,6.7,4.4,1,800,"lv","false","level3",47
87789,3.1,8,5.6,1,1656,"rv","true","level3",51
88406,0,10,8.9,5,680,"lv","false","level4",48
87882,1.2,9.7,6.7,2,965,"rv","true","level2",51
