"pollscore","numeric_grade","duration","sample_size","population","party","hypothetical","internal","pct"
-0.4,1.8,2,1254,"lv","DEM","false","true",47
-0.4,1.8,2,1254,"lv","REP","false","true",49
0,0,34,400,"lv","DEM","false","false",58.7
0,0,34,400,"lv","REP","false","false",41.3
0,0,36,400,"lv","DEM","false","false",33.9
0,0,36,400,"lv","REP","false","false",66.1
-0.4,1.8,2,1223,"lv","DEM","false","true",48
-0.4,1.8,2,1223,"lv","REP","false","true",47
0,0,7,600,"lv","DEM","false","true",50
0,0,7,600,"lv","REP","false","true",47
0,0,7,600,"lv","DEM","false","true",48
0,0,7,600,"lv","REP","false","true",46
0,1.4,1,571,"lv","DEM","false","true",55
0,1.4,1,571,"lv","REP","false","true",40
0,1.4,1,716,"lv","DEM","false","true",53
0,1.4,1,716,"lv","REP","false","true",41
-0.4,1.8,2,1257,"lv","DEM","false","true",49
-0.4,1.8,2,1257,"lv","REP","false","true",47
0,0,2,1045,"lv","DEM","false","false",49.4
0,0,2,1045,"lv","REP","false","false",48.6
-0.4,2.3,3,788,"lv","DEM","false","true",47
-0.4,2.3,3,788,"lv","REP","false","true",52
-0.8,2.7,5,4180,"lv","DEM","false","true",47.6
-0.8,2.7,5,4180,"lv","REP","false","true",50.7
-0.8,2.7,5,4180,"lv","GRE","false","true",0.8
-0.8,2.7,5,4180,"lv","LIB","false","true",0.1
-0.8,2.7,5,4180,"lv","IND","false","true",0.1
-0.8,2.7,5,4180,"lv","DEM","false","true",48.1
-0.8,2.7,5,4180,"lv","REP","false","true",50.8
-0.8,2.7,5,1440,"lv","DEM","false","true",48.6
-0.8,2.7,5,1440,"lv","REP","false","true",49.2
-0.8,2.7,5,1440,"lv","GRE","false","true",0.7
-0.8,2.7,5,1440,"lv","LIB","false","true",0.1
-0.8,2.7,5,1440,"lv","DEM","false","true",49.3
-0.8,2.7,5,1440,"lv","REP","false","true",49.2
-0.8,2.7,5,1411,"lv","DEM","false","true",48.1
-0.8,2.7,5,1411,"lv","REP","false","true",49.5
-0.8,2.7,5,1411,"lv","LIB","false","true",1.3
-0.8,2.7,5,1411,"lv","IND","false","true",0.2
-0.8,2.7,5,1411,"lv","GRE","false","true",0.2
-0.8,2.7,5,1411,"lv","DEM","false","true",48.4
-0.8,2.7,5,1411,"lv","REP","false","true",50.1
-0.8,2.7,5,1529,"lv","DEM","true","true",46.8
-0.8,2.7,5,1529,"lv","REP","true","true",49.6
-0.8,2.7,5,1529,"lv","GRE","true","true",1.1
-0.8,2.7,5,1529,"lv","IND","true","true",0.7
-0.8,2.7,5,1529,"lv","LIB","true","true",0.2
-0.8,2.7,5,1529,"lv","IND","true","true",0.1
-0.8,2.7,5,1529,"lv","DEM","false","true",47.3
-0.8,2.7,5,1529,"lv","REP","false","true",50.2
-0.8,2.7,5,1171,"lv","DEM","false","true",48.1
-0.8,2.7,5,1171,"lv","REP","false","true",48.4
-0.8,2.7,5,1171,"lv","GRE","false","true",1.7
-0.8,2.7,5,1171,"lv","LIB","false","true",0
-0.8,2.7,5,1171,"lv","DEM","false","true",48.4
-0.8,2.7,5,1171,"lv","REP","false","true",48.3
-0.8,2.7,5,1674,"lv","DEM","false","true",49.5
-0.8,2.7,5,1674,"lv","REP","false","true",48.8
-0.8,2.7,5,1674,"lv","GRE","false","true",1.1
-0.8,2.7,5,1674,"lv","LIB","false","true",0.1
-0.8,2.7,5,1674,"lv","IND","false","true",0.1
-0.8,2.7,5,1674,"lv","DEM","false","true",50.5
-0.8,2.7,5,1674,"lv","REP","false","true",48.8
-0.8,2.7,5,2048,"lv","DEM","false","true",46.5
-0.8,2.7,5,2048,"lv","REP","false","true",49.8
-0.8,2.7,5,2048,"lv","GRE","false","true",1.9
-0.8,2.7,5,2048,"lv","LIB","false","true",0.5
-0.8,2.7,5,2048,"lv","DEM","false","true",47.4
-0.8,2.7,5,2048,"lv","REP","false","true",49.9
-0.8,2.7,5,932,"lv","DEM","true","true",48.9
-0.8,2.7,5,932,"lv","REP","true","true",48.2
-0.8,2.7,5,932,"lv","LIB","true","true",0.8
-0.8,2.7,5,932,"lv","IND","true","true",0.7
-0.8,2.7,5,932,"lv","GRE","true","true",0.2
-0.8,2.7,5,932,"lv","DEM","false","true",49
-0.8,2.7,5,932,"lv","REP","false","true",48.4
0,0,6,600,"lv","DEM","false","true",53
0,0,6,600,"lv","REP","false","true",45
0,0,6,600,"lv","DEM","false","true",51
0,0,6,600,"lv","REP","false","true",43
0,0,6,600,"lv","DEM","false","true",49
0,0,6,600,"lv","REP","false","true",49
0,0,6,600,"lv","DEM","false","true",49
0,0,6,600,"lv","REP","false","true",48
0,0,8,1000,"lv","DEM","false","false",48.9
0,0,8,1000,"lv","REP","false","false",51.1
0,0,16,400,"lv","DEM","false","false",49.3
0,0,16,400,"lv","REP","false","false",50.7
0,0,38,400,"lv","DEM","false","false",41.6
0,0,38,400,"lv","REP","false","false",58.4
-0.4,1.8,2,1228,"lv","DEM","false","true",49
-0.4,1.8,2,1228,"lv","REP","false","true",46
-1.1,2.9,2,1000,"lv","DEM","false","true",49.5
-1.1,2.9,2,1000,"lv","REP","false","true",49.2
0.2,1.1,2,800,"lv","DEM","false","true",45
0.2,1.1,2,800,"lv","REP","false","true",46
-0.4,2.3,2,2950,"lv","DEM","false","true",50
-0.4,2.3,2,2950,"lv","REP","false","true",49
-0.4,1.8,2,1029,"rv","DEM","false","true",48.8
-0.4,1.8,2,1029,"rv","REP","false","true",45.8
-0.4,1.8,2,813,"lv","DEM","false","true",48.3
-0.4,1.8,2,813,"lv","REP","false","true",48.5
-0.4,1.8,2,1029,"rv","DEM","false","true",48.3
-0.4,1.8,2,1029,"rv","REP","false","true",44.8
-0.4,1.8,2,1029,"rv","IND","false","true",1
-0.4,1.8,2,1029,"rv","GRE","false","true",1
-0.4,1.8,2,813,"lv","DEM","false","true",49
-0.4,1.8,2,813,"lv","REP","false","true",48.5
-0.4,1.8,2,813,"lv","IND","false","true",0.5
-0.4,1.8,2,813,"lv","GRE","false","true",0.8
-1.1,3,5,1435,"lv","DEM","false","true",48
-1.1,3,5,1435,"lv","REP","false","true",51
-0.4,2.3,6,787,"lv","DEM","false","true",49
-0.4,2.3,6,787,"lv","REP","false","true",50
-0.4,2.3,6,789,"lv","DEM","false","true",49
-0.4,2.3,6,789,"lv","REP","false","true",49
0,0,19,2540,"rv","DEM","false","true",53
0,0,19,2540,"rv","REP","false","true",47
0,0,20,400,"lv","DEM","false","false",44.2
0,0,20,400,"lv","REP","false","false",55.8
0,0,22,400,"lv","DEM","false","false",37.6
0,0,22,400,"lv","REP","false","false",62.4
0,0,40,400,"lv","DEM","false","false",66.6
0,0,40,400,"lv","REP","false","false",33.4
-0.3,2,1,800,"rv","DEM","false","true",47
-0.3,2,1,800,"rv","REP","false","true",49
-0.4,1.8,2,1248,"lv","DEM","false","true",50
-0.4,1.8,2,1248,"lv","REP","false","true",46
-1.1,3,3,1457,"rv","DEM","false","true",48
-1.1,3,3,1457,"rv","REP","false","true",45
-1.1,3,3,1457,"rv","GRE","false","true",1
-1.1,3,3,1457,"rv","IND","false","true",1
-1.1,3,3,1314,"lv","DEM","false","true",49
-1.1,3,3,1314,"lv","REP","false","true",45
-1.1,3,3,1314,"lv","GRE","false","true",1
-1.1,3,3,1314,"lv","IND","false","true",0
-0.3,1.9,9,653,"lv","DEM","false","true",49
-0.3,1.9,9,653,"lv","REP","false","true",48
-0.3,1.9,9,1002,"lv","DEM","false","true",48
-0.3,1.9,9,1002,"lv","REP","false","true",49
-0.3,1.9,9,490,"lv","DEM","false","true",64
-0.3,1.9,9,490,"lv","REP","false","true",31
-0.3,1.9,9,1065,"lv","DEM","false","true",49
-0.3,1.9,9,1065,"lv","REP","false","true",47
-0.3,1.9,9,496,"lv","DEM","false","true",49
-0.3,1.9,9,496,"lv","REP","false","true",45
-0.3,1.9,9,1072,"lv","DEM","false","true",48
-0.3,1.9,9,1072,"lv","REP","false","true",49
-0.3,1.9,9,1243,"lv","DEM","false","true",45
-0.3,1.9,9,1243,"lv","REP","false","true",52
-0.3,1.9,9,1395,"lv","DEM","false","true",49
-0.3,1.9,9,1395,"lv","REP","false","true",48
-0.3,1.9,9,2048,"lv","DEM","false","true",46
-0.3,1.9,9,2048,"lv","REP","false","true",50
-0.3,1.9,9,527,"lv","DEM","false","true",47
-0.3,1.9,9,527,"lv","REP","false","true",48
-0.2,2.4,0,589,"lv","DEM","true","false",47
-0.2,2.4,0,589,"lv","REP","true","false",47
-0.2,2.4,0,589,"lv","GRE","true","false",1
-0.2,2.4,0,589,"lv","LIB","true","false",1
-0.2,2.4,0,589,"lv","IND","true","false",0
-0.2,2.4,0,589,"lv","IND","true","false",0
-0.2,2.4,0,589,"lv","DEM","false","false",47.4
-0.2,2.4,0,589,"lv","REP","false","false",48.5
-0.4,1.8,2,1198,"lv","DEM","false","true",49
-0.4,1.8,2,1198,"lv","REP","false","true",46
0.6,1.1,2,803,"rv","DEM","false","true",49
0.6,1.1,2,803,"rv","REP","false","true",50
-1.1,2.9,2,1000,"lv","DEM","false","true",61
-1.1,2.9,2,1000,"lv","REP","false","true",36.6
0.4,1.8,2,620,"lv","DEM","false","true",46
0.4,1.8,2,620,"lv","REP","false","true",48
0.4,1.8,2,620,"lv","LIB","false","true",1
0.4,1.8,2,620,"lv","GRE","false","true",0
0.4,1.8,2,1141,"lv","DEM","false","true",46
0.4,1.8,2,1141,"lv","REP","false","true",48
0.4,1.8,2,1141,"lv","LIB","false","true",1
0.4,1.8,2,1141,"lv","GRE","false","true",1
0.4,1.8,2,1009,"lv","DEM","false","true",44
0.4,1.8,2,1009,"lv","REP","false","true",50
0.4,1.8,2,1009,"lv","LIB","false","true",0
0.4,1.8,2,1009,"lv","GRE","false","true",1
0.4,1.8,2,637,"lv","DEM","false","true",47
0.4,1.8,2,637,"lv","REP","false","true",47
0.4,1.8,2,637,"lv","LIB","false","true",1
0.4,1.8,2,637,"lv","GRE","false","true",2
0.4,1.8,2,682,"lv","DEM","false","true",47
