"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology","pct"
88794,2.2,9,5.6,5,4180,"lv","false","level1",0.1
88795,2.2,9,5.6,5,1440,"lv","false","level1",0.1
88796,2.2,9,5.6,5,1411,"lv","false","level1",1.3
88797,2.2,9,5.6,5,1529,"lv","true","level1",0.2
88798,2.2,9,5.6,5,1171,"lv","false","level1",0
88799,2.2,9,5.6,5,1674,"lv","false","level1",0.1
88800,2.2,9,5.6,5,2048,"lv","false","level1",0.5
88801,2.2,9,5.6,5,932,"lv","true","level1",0.8
88724,5.9,6,8.9,2,620,"lv","false","level3",1
88725,5.9,6,8.9,2,1141,"lv","false","level3",1
88726,5.9,6,8.9,2,1009,"lv","false","level3",0
88727,5.9,6,8.9,2,637,"lv","false","level3",1
88728,5.9,6,8.9,2,682,"lv","false","level3",1
88729,5.9,6,8.9,2,544,"lv","false","level3",0
88730,5.9,6,8.9,2,838,"lv","false","level3",1
88731,5.9,6,8.9,2,382,"lv","false","level3",1
88732,5.9,6,8.9,2,1649,"lv","false","level3",1
88733,5.9,6,8.9,2,641,"lv","false","level3",1
88758,1.2,7,3.3,2,600,"lv","false","level3",0.9
88734,3.1,9.3,8.9,4,1328,"lv","false","level4",1
88735,3.1,9.3,8.9,4,1031,"lv","false","level4",1
88776,3.1,8.7,6.7,5,701,"lv","false","level2",0.4
88708,5,6,5.6,4,600,"lv","true","level4",1.2
88664,0,10,8.9,3,857,"rv","false","level4",1
88664,0,10,8.9,3,857,"lv","false","level4",0
88665,0,10,8.9,3,808,"lv","false","level4",0
88665,0,10,8.9,3,808,"rv","false","level4",1
88688,3.4,8,7.2,7,700,"a","false","level3",1
88690,4.7,0,5.6,8,1193,"lv","false","level3",0.2
88738,1.6,9.7,8.9,8,600,"lv","false","level3",1
88768,1.2,10,8.9,8,1091,"lv","false","level3",1
88712,1.2,10,10,9,780,"rv","true","level4",3
88712,1.2,10,10,9,652,"lv","true","level4",2
88686,3.7,7.3,3.3,14,1329,"lv","false","level3",0
88661,5.9,6,8.9,1,608,"lv","false","level3",1
88662,5.9,6,8.9,1,707,"lv","false","level3",1
88737,1.6,9.7,8.9,7,800,"lv","false","level3",0
88705,4.7,0,3.9,1,5500,"rv","false","level3",0.7
88617,0,10,8.9,3,656,"rv","false","level4",0
88617,0,10,8.9,3,656,"lv","false","level4",0
88671,5.3,5.3,5.6,3,800,"lv","false","level3",1
88666,2.5,8.7,3.3,4,1000,"rv","true","level4",1
88667,1.9,9.3,9.4,4,2631,"a","false","level4",1
88667,1.9,9.3,9.4,4,2226,"rv","false","level4",1
88667,1.9,9.3,9.4,4,1714,"lv","false","level4",1
88700,3.7,5.7,1.1,6,600,"lv","true","level3",0
88591,3.1,9.3,8.9,4,1007,"lv","false","level4",1
88592,3.1,9.3,8.9,4,1412,"lv","false","level4",1
88593,3.1,9.3,8.9,4,1073,"lv","false","level4",1
88605,4.7,0,6.7,5,1037,"lv","false","level3",1
88718,3.4,8,5.6,5,539,"lv","false","level3",2
88718,3.4,8,5.6,5,600,"rv","false","level3",1
88561,5.9,6,8.9,0,1918,"lv","false","level3",0.7
88634,3.4,8.3,7.8,6,4025,"rv","true","level4",1
88550,0,10,8.9,7,3385,"lv","false","level4",1
88555,0,10,8.9,7,622,"lv","false","level4",0
88555,0,10,8.9,7,622,"rv","false","level4",1
88551,1.6,9.7,7.8,4,500,"lv","false","level4",0.2
88527,1.2,10,8.9,2,1150,"rv","false","level3",1
88527,1.2,10,8.9,2,1032,"lv","false","level3",1
88622,3.4,8,5.6,2,2290,"lv","false","level3",0
88622,3.4,8,5.6,2,2560,"rv","false","level3",1
88545,4.1,5,0,3,600,"lv","true","level4",0.8
88556,0,10,8.9,5,617,"lv","false","level4",2
88556,0,10,8.9,5,617,"rv","false","level4",3
88507,3.1,8,5.6,1,2104,"lv","false","level3",1
88530,5.9,6,8.9,5,555,"lv","false","level3",1
88531,5.9,6,8.9,5,2946,"lv","false","level3",1
88532,5.9,6,8.9,5,3783,"lv","false","level3",1
88533,5.9,6,8.9,5,839,"lv","false","level3",1
88534,5.9,6,8.9,5,551,"lv","false","level3",1
88535,5.9,6,8.9,5,514,"lv","false","level3",1
88536,5.9,6,8.9,5,753,"lv","false","level3",0
88537,5.9,6,8.9,5,5686,"lv","false","level3",1
88538,5.9,6,8.9,5,533,"lv","false","level3",1
88514,4.1,8.3,8.9,6,3045,"lv","true","level1",0
88572,3.7,5.7,1.1,7,600,"lv","false","level4",0
88504,4.1,8,6.7,0,709,"lv","true","level3",1
88486,4.4,5.7,2.2,2,500,"lv","false","level4",1
88517,5.9,6,8.9,1,1616,"lv","true","level3",0
88457,3.1,9.3,8.9,4,953,"lv","false","level4",0
88458,3.1,9.3,8.9,4,942,"lv","false","level4",1
88586,4.7,0,10,5,863,"lv","true","level3",0
88398,5.9,6,8.9,1,2021,"lv","false","level3",1
88407,0,10,8.9,2,680,"rv","false","level4",2
88407,0,10,8.9,2,680,"lv","false","level4",1
88423,3.1,8.7,6.7,3,1005,"lv","false","level2",0.7
88373,4.7,0,3.3,4,1735,"lv","true","level3",0.5
88404,0,10,8.9,5,688,"rv","false","level4",2
88404,0,10,8.9,5,688,"lv","false","level4",1
88405,0,10,8.9,5,687,"rv","false","level4",2
88405,0,10,8.9,5,687,"lv","false","level4",2
88406,0,10,8.9,5,680,"rv","false","level4",2
88406,0,10,8.9,5,680,"lv","false","level4",2
88488,1.2,10,10,8,882,"rv","true","level4",1
88488,1.2,10,10,8,798,"lv","true","level4",1
88374,2.2,9,8.9,2,1005,"lv","true","level3",1
88395,2.8,9.3,10,5,931,"lv","false","level1",1
88397,2.8,9.3,10,5,749,"lv","false","level1",1
88411,2.2,9,5.6,5,918,"lv","true","level1",0
88413,2.2,9,5.6,5,1775,"lv","false","level1",0.4
88414,2.2,9,5.6,5,1077,"lv","true","level1",1
88415,2.2,9,5.6,5,1173,"lv","false","level1",0.2
88416,2.2,9,5.6,5,1200,"lv","false","level1",0.1
88383,3.7,6.3,2.2,6,977,"rv","false","level3",2
88383,3.7,6.3,2.2,6,926,"lv","false","level3",2
88384,3.7,6.3,2.2,6,989,"rv","false","level3",3
88384,3.7,6.3,2.2,6,913,"lv","false","level3",2
88385,3.7,6.3,2.2,6,894,"rv","false","level3",2
88385,3.7,6.3,2.2,6,800,"lv","false","level3",1
88386,3.7,6.3,2.2,6,574,"rv","false","level3",4
88386,3.7,6.3,2.2,6,516,"lv","false","level3",2
88387,3.7,6.3,2.2,6,889,"rv","false","level3",3
88387,3.7,6.3,2.2,6,828,"lv","false","level3",2
88388,3.7,6.3,2.2,6,993,"rv","false","level3",4
88388,3.7,6.3,2.2,6,924,"lv","false","level3",3
88389,3.7,6.3,2.2,6,849,"rv","false","level3",2
88389,3.7,6.3,2.2,6,785,"lv","false","level3",1
88422,4.7,0,4.4,13,1685,"lv","true","level1",0
88380,1.2,9.3,8.9,4,1021,"rv","false","level3",2
88380,1.2,9.3,8.9,4,764,"lv","false","level3",2
88381,1.2,9.3,8.9,4,1006,"rv","false","level3",1
88381,1.2,9.3,8.9,4,707,"lv","false","level3",1
88402,1.2,9.3,8.9,4,787,"lv","false","level3",1
88402,1.2,9.3,8.9,4,991,"rv","false","level3",1
88403,1.2,9.3,8.9,4,775,"lv","false","level3",2
88403,1.2,9.3,8.9,4,1021,"rv","false","level3",2
88390,1.6,9.7,7.8,5,500,"lv","false","level4",1
88430,3.7,5.7,1.1,7,600,"lv","false","level3",0
88362,3.7,8.3,7.8,4,1012,"lv","false","level3",1
88362,3.7,8.3,7.8,4,1012,"rv","false","level3",1
88325,2.8,9.3,10,3,2074,"lv","false","level4",2
88325,2.8,9.3,10,3,2074,"rv","false","level4",2
88328,3.1,9.3,8.9,3,1728,"lv","false","level4",1
88276,0,10,8.9,4,713,"rv","false","level4",3
88276,0,10,8.9,4,713,"lv","false","level4",2
88277,0,10,8.9,4,682,"rv","false","level4",2
88277,0,10,8.9,4,682,"lv","false","level4",2
88278,0,10,8.9,4,682,"rv","false","level4",1
88278,0,10,8.9,4,682,"lv","false","level4",1
88394,5.6,5.3,7.8,2,802,"lv","false","level3",1
88288,5.9,6,8.9,3,789,"lv","false","level3",1
88289,5.9,6,8.9,3,1602,"lv","false","level3",1
88290,5.9,6,8.9,3,993,"lv","false","level3",1
88291,5.9,6,8.9,3,703,"lv","false","level3",0
88292,5.9,6,8.9,3,652,"lv","false","level3",1
88293,5.9,6,8.9,3,1086,"lv","false","level3",1
88294,5.9,6,8.9,3,600,"lv","false","level3",0
88295,5.9,6,8.9,3,1043,"lv","false","level3",1
88296,5.9,6,8.9,3,868,"lv","false","level3",0
88246,4.7,0,3.3,4,1880,"lv","true","level3",0.7
88371,1.6,9.7,8.9,8,650,"lv","true","level3",2
88372,1.6,9.7,8.9,8,800,"lv","false","level3",1
88409,4.7,0,3.3,8,383,"lv","true","level3",0.8
88301,1.6,9.7,7.8,2,500,"lv","true","level4",0.4
88285,4.7,0,4.4,5,1200,"lv","false","level3",1
88267,2.2,9.3,6.7,6,800,"lv","false","level3",0
88275,2.2,9.3,6.7,6,800,"lv","true","level3",0
88286,2.2,9.3,6.7,6,800,"lv","true","level3",0
88271,2.5,8.7,3.3,4,1000,"rv","true","level4",1
88243,1.2,7,3.3,1,600,"lv","false","level3",0.9
88211,3.1,9.3,8.9,4,1331,"lv","false","level4",1
88212,3.1,9.3,8.9,4,905,"lv","false","level4",0
88213,3.1,9.3,8.9,4,1075,"lv","false","level4",0
88217,3.7,8.7,10,4,683,"lv","false","level4",0
88218,3.7,8.7,10,4,564,"lv","false","level4",0
88219,3.7,8.7,10,4,1695,"lv","false","level4",1
88231,0.9,10,8.9,4,1003,"lv","false","level3",0
88198,5.3,5.3,5.6,5,1000,"lv","true","level3",0
88228,0,10,8.9,5,2437,"rv","false","level4",2
88228,0,10,8.9,5,2437,"lv","false","level4",2
88229,2.2,9,6.7,5,1003,"lv","false","level3",0
88242,0,10,8.9,5,1082,"rv","false","level4",1
88242,0,10,8.9,5,1082,"lv","false","level4",1
88313,3.4,8,5.6,7,692,"lv","false","level3",1
88313,3.4,8,5.6,7,812,"rv","false","level3",1
88206,4.1,7.3,6.7,6,1000,"lv","false","level4",0.3
88220,4.4,7,6.7,10,812,"lv","false","level3",1
88227,4.4,8,8.3,11,890,"rv","false","level1",1
88184,1.6,9.7,7.8,3,500,"lv","false","level4",0.4
88209,3.7,5.7,1.1,3,600,"lv","true","level4",0
88170,1.2,10,8.9,2,1175,"rv","false","level3",1
88170,1.2,10,8.9,2,1090,"lv","false","level3",1
88177,1.9,9.3,9.4,2,3276,"a","false","level4",1
88177,1.9,9.3,9.4,2,2772,"rv","false","level4",1
88177,1.9,9.3,9.4,2,2196,"lv","false","level4",0
88547,5.3,5.3,5.6,4,744,"a","true","level3",1
