"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology","pct"
87047,9.7,1.7,3.3,2,1000,"lv","true","level3",1
87426,4.4,5,2.8,4,600,"rv","true","level4",1
87427,4.4,5,2.8,4,600,"rv","true","level4",1
87428,4.4,5,2.8,4,600,"rv","true","level4",1
86965,9.7,1.7,3.3,6,1000,"lv","true","level3",1
86958,9.7,1.7,3.3,4,2000,"rv","true","level3",0.6
86958,9.7,1.7,3.3,4,1721,"lv","true","level3",0.7
86897,0,10,8.9,11,626,"rv","true","level4",1
86897,0,10,8.9,11,626,"lv","true","level4",1
86898,0,10,8.9,11,604,"rv","true","level4",1
86898,0,10,8.9,11,604,"lv","true","level4",2
86899,0,10,8.9,11,616,"rv","true","level4",1
86899,0,10,8.9,11,616,"lv","true","level4",1
86900,0,10,8.9,11,614,"rv","true","level4",2
86900,0,10,8.9,11,614,"lv","true","level4",2
86901,0,10,8.9,11,1023,"rv","true","level4",0
86901,0,10,8.9,11,1023,"lv","true","level4",0
86902,0,10,8.9,11,614,"rv","true","level4",0
86902,0,10,8.9,11,614,"lv","true","level4",0
86871,9.7,1.7,3.3,2,800,"lv","true","level3",0.4
86871,9.7,1.7,3.3,2,800,"lv","true","level3",2
86872,9.7,1.7,3.3,2,600,"lv","true","level3",0.5
86872,9.7,1.7,3.3,2,600,"lv","true","level3",1
86669,5,3.7,2.8,1,600,"lv","true","level3",1
86657,4.4,5.7,5.6,4,400,"lv","true","level3",2
86657,4.4,5.7,5.6,4,400,"lv","true","level3",1
86607,9.7,1.7,3.3,3,2000,"rv","true","level3",0.8
86607,9.7,1.7,3.3,3,1799,"lv","true","level3",0.8
86582,4.7,0,5.6,7,600,"rv","true","level3",1
86582,4.7,0,5.6,7,600,"rv","true","level3",3
86583,4.7,0,5.6,7,600,"rv","true","level3",2
86583,4.7,0,5.6,7,600,"rv","true","level3",4
86584,4.7,0,5.6,7,600,"rv","true","level3",1
86584,4.7,0,5.6,7,600,"rv","true","level3",2
86585,4.7,0,5.6,7,600,"rv","true","level3",1
86585,4.7,0,5.6,7,600,"rv","true","level3",2
86586,4.7,0,5.6,7,600,"rv","true","level3",2
86586,4.7,0,5.6,7,600,"rv","true","level3",3
86587,4.7,0,5.6,7,600,"rv","true","level3",1
86587,4.7,0,5.6,7,600,"rv","true","level3",2
86588,4.7,0,5.6,7,600,"rv","true","level3",1
86588,4.7,0,5.6,7,600,"rv","true","level3",2
86922,5.3,3.7,6.7,3,1378,"rv","true","level3",1.7
86922,5.3,3.7,6.7,3,1318,"lv","true","level3",1.4
86255,4.7,0,5.6,7,1745,"rv","true","level3",1
86224,9.7,1.7,3.3,3,2000,"rv","true","level3",1.1
86224,9.7,1.7,3.3,3,1724,"lv","true","level3",1
86916,5.3,3.7,6.7,2,3005,"rv","true","level3",2.4
86916,5.3,3.7,6.7,2,2795,"lv","true","level3",2.1
85864,3.4,6,2.2,2,1266,"rv","true","level3",1
85564,1.6,9.7,7.8,4,1000,"lv","true","level4",0.8
85489,1.6,9.7,7.8,3,1000,"rv","true","level4",2.3
86917,5.3,3.7,6.7,2,3011,"rv","true","level3",3.1
86917,5.3,3.7,6.7,2,2772,"lv","true","level3",2.6
84889,4.7,0,5.6,5,1500,"rv","true","level3",1
84462,4.7,0,3.3,1,1262,"lv","true","level2",4
84074,4.7,0,0,6,1500,"rv","true","level3",1
