"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology","pct"
86297,1.2,10,8.9,2,1450,"rv","true","level3",34
86301,1.2,9.7,6.7,3,1000,"rv","true","level2",44.5
86253,0,10,8.9,3,980,"rv","true","level4",45
86253,0,10,8.9,3,980,"lv","true","level4",46
86256,1.2,9.3,5.6,3,1262,"rv","true","level3",28
86256,1.2,9.3,5.6,3,1262,"rv","true","level3",50
86274,4.7,0,1.1,2,601,"rv","true","level3",19
86299,4.1,5.3,0,5,1026,"lv","true","level3",35
86238,5,6,8.3,8,1167,"rv","true","level4",42
86238,5,6,8.3,8,1167,"rv","true","level4",33
86226,4.7,0,4.4,16,745,"lv","true","level2",51
86190,4.4,5,6.7,1,2022,"rv","true","level3",39
86147,3.1,9.3,8.9,4,1421,"rv","true","level4",46
86147,3.1,9.3,8.9,4,1421,"rv","true","level4",27
86241,3.4,8.7,6.7,8,705,"a","true","level4",49
86148,1.2,10,10,10,787,"rv","true","level4",58
86148,1.2,10,10,10,628,"lv","true","level4",59
85971,3.1,8.7,6.7,3,1207,"rv","true","level2",31.9
85960,1.2,9.3,5.6,4,1106,"rv","true","level3",43
85960,1.2,9.3,5.6,4,1106,"rv","true","level3",26
85961,1.2,9.3,5.6,4,1099,"rv","true","level3",46
85961,1.2,9.3,5.6,4,1099,"rv","true","level3",31
86065,1.2,10,8.9,10,1200,"rv","true","level3",31
85994,4.7,0,10,6,1000,"rv","true","level2",50
85994,4.7,0,10,6,1000,"rv","true","level2",41
85939,3.7,8.3,8.3,8,1717,"rv","true","level4",47
85918,2.2,9,5.6,5,1637,"rv","true","level1",23
86276,1.9,9.3,9.4,5,1076,"a","true","level4",30
85865,5.9,6,8.9,2,605,"lv","true","level3",30
85890,0.6,9.3,7.8,2,1048,"lv","true","level3",13
85890,0.6,9.3,7.8,2,1048,"lv","true","level3",11
85890,0.6,9.3,7.8,2,1048,"lv","true","level3",10
85940,5.9,4,4.4,10,815,"rv","true","level4",36
85861,1.9,9.7,6.7,3,1441,"rv","true","level3",45
85891,1.2,10,10,7,930,"rv","true","level2",57
85891,1.2,10,10,7,808,"lv","true","level2",57
85827,1.2,9.3,5.6,4,1172,"rv","true","level3",28
85828,1.2,9.3,5.6,4,1119,"rv","true","level3",29
85839,2.5,8.7,3.3,4,1000,"rv","true","level4",45
85826,2.8,9.3,10,5,983,"rv","true","level4",52
85837,1.2,10,8.9,6,847,"rv","true","level3",38
85742,1.2,9.7,6.7,3,1260,"rv","true","level2",38.2
85742,1.2,9.7,6.7,3,1260,"rv","true","level2",11.8
85761,1.2,10,8.9,4,1069,"rv","true","level3",35
85779,3.1,9.3,8.9,4,1650,"rv","true","level4",47
85779,3.1,9.3,8.9,4,1650,"rv","true","level4",29
86061,4.7,0,5.6,11,4067,"rv","true","level3",27
86061,4.7,0,5.6,11,5013,"a","true","level3",24
85736,3.7,7.3,8.9,13,1145,"lv","true","level3",43
85818,4.1,5.3,0,4,1092,"lv","true","level3",38
85672,4.4,5,6.7,1,2346,"rv","true","level3",41
85676,2.2,9,8.9,2,1029,"lv","true","level3",45
85655,1.9,9.7,6.7,2,1157,"rv","true","level3",47
85675,4.4,7,8.9,16,812,"a","true","level3",43
85608,1.2,10,8.9,2,1906,"lv","true","level3",53
85591,3.1,7,6.7,2,968,"lv","true","level2",36
85493,1.2,10,8.9,2,1343,"rv","true","level3",36
85483,5.3,5.3,5.6,5,984,"lv","true","level3",40
85454,1.2,10,8.9,4,1027,"rv","true","level3",36
85482,2.2,9,8.9,4,1012,"lv","true","level3",45
85408,4.4,5,6.7,1,2034,"rv","true","level3",40
85413,1.2,9.3,5.6,3,1007,"rv","true","level4",49
85450,1.6,9.3,7.8,23,421,"rv","true","level4",38
85451,1.2,10,8.9,9,1200,"rv","true","level3",33
85449,5.6,3.7,2.2,7,694,"lv","true","level4",37
84963,2.8,9.3,10,7,1068,"rv","true","level2",49
84924,1.2,9.7,6.7,2,1000,"rv","true","level2",38.6
84962,2.8,9.3,10,7,1197,"rv","true","level2",50
84889,4.7,0,5.6,5,1500,"rv","true","level3",51
84859,4.4,5,5.6,4,2018,"rv","true","level3",55
