"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology","pct"
88758,1.2,7,3.3,2,600,"lv","false","level3",0.1
88735,3.1,9.3,8.9,4,1031,"lv","false","level4",0
88708,5,6,5.6,4,600,"lv","true","level4",0
88666,2.5,8.7,3.3,4,1000,"rv","true","level4",0
88591,3.1,9.3,8.9,4,1007,"lv","false","level4",0
88593,3.1,9.3,8.9,4,1073,"lv","false","level4",0
88504,4.1,8,6.7,0,709,"lv","true","level3",0
88457,3.1,9.3,8.9,4,953,"lv","false","level4",0
88488,1.2,10,10,8,882,"rv","true","level4",1
88488,1.2,10,10,8,798,"lv","true","level4",1
88394,5.6,5.3,7.8,2,802,"lv","false","level3",0
88371,1.6,9.7,8.9,8,650,"lv","true","level3",0
88301,1.6,9.7,7.8,2,500,"lv","true","level4",0.2
88271,2.5,8.7,3.3,4,1000,"rv","true","level4",0
88243,1.2,7,3.3,1,600,"lv","false","level3",0.2
88212,3.1,9.3,8.9,4,905,"lv","false","level4",0
88213,3.1,9.3,8.9,4,1075,"lv","false","level4",0
88209,3.7,5.7,1.1,3,600,"lv","true","level4",0
88160,4.1,8,6.7,0,580,"lv","true","level2",0
88095,3.1,9.3,8.9,4,940,"lv","false","level4",0
88135,1.2,10,10,8,822,"rv","true","level2",0
88135,1.2,10,10,8,738,"lv","true","level2",1
88011,3.1,8.7,6.7,2,920,"lv","false","level2",0.2
87698,1.2,10,10,8,877,"rv","true","level2",0
87698,1.2,10,10,8,801,"lv","true","level2",0
