"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology","pct"
88797,2.2,9,5.6,5,1529,"lv","true","level1",0.7
88801,2.2,9,5.6,5,932,"lv","true","level1",0.7
88708,5,6,5.6,4,600,"lv","true","level4",2.6
88712,1.2,10,10,9,780,"rv","true","level4",10
88712,1.2,10,10,9,652,"lv","true","level4",9
88717,4.4,6.3,6.7,1,1254,"lv","true","level3",7
88666,2.5,8.7,3.3,4,1000,"rv","true","level4",2
88700,3.7,5.7,1.1,6,600,"lv","true","level3",3
88634,3.4,8.3,7.8,6,4025,"rv","true","level4",2
88523,3.4,6,2.2,2,997,"lv","true","level3",2
88545,4.1,5,0,3,600,"lv","true","level4",4.7
88514,4.1,8.3,8.9,6,3045,"lv","true","level1",2
88504,4.1,8,6.7,0,709,"lv","true","level3",2
88517,5.9,6,8.9,1,1616,"lv","true","level3",1
88439,4.4,6.3,6.7,2,1182,"lv","true","level4",6
88586,4.7,0,10,5,863,"lv","true","level3",2
88373,4.7,0,3.3,4,1735,"lv","true","level3",2.6
88488,1.2,10,10,8,882,"rv","true","level4",3
88488,1.2,10,10,8,798,"lv","true","level4",3
88374,2.2,9,8.9,2,1005,"lv","true","level3",2
88411,2.2,9,5.6,5,918,"lv","true","level1",0.1
88414,2.2,9,5.6,5,1077,"lv","true","level1",0.2
88471,4.7,0,-1.1,6,416,"lv","true","level3",0
88475,4.7,0,-1.1,6,411,"lv","true","level3",0
88422,4.7,0,4.4,13,1685,"lv","true","level1",1.7
88246,4.7,0,3.3,4,1880,"lv","true","level3",2.4
88371,1.6,9.7,8.9,8,650,"lv","true","level3",2
88409,4.7,0,3.3,8,383,"lv","true","level3",3.3
88301,1.6,9.7,7.8,2,500,"lv","true","level4",0.8
88275,2.2,9.3,6.7,6,800,"lv","true","level3",3
88286,2.2,9.3,6.7,6,800,"lv","true","level3",1
88298,2.2,9.3,6.7,6,800,"lv","true","level3",3
88311,2.2,9.3,6.7,6,800,"lv","true","level3",2
88271,2.5,8.7,3.3,4,1000,"rv","true","level4",2
88198,5.3,5.3,5.6,5,1000,"lv","true","level3",4
88204,4.7,0,4.4,5,1054,"lv","true","level2",3
88204,4.7,0,4.4,5,1054,"lv","true","level2",4
88209,3.7,5.7,1.1,3,600,"lv","true","level4",2
88171,3.4,6,2.2,2,1721,"rv","true","level3",5
88547,5.3,5.3,5.6,4,744,"a","true","level3",3
88165,4.4,6.3,6.7,1,1254,"lv","true","level3",4
88160,4.1,8,6.7,0,580,"lv","true","level2",2
88179,0.9,9.3,7.2,3,656,"lv","true","level4",6
88265,10,2.3,3.3,6,1000,"a","true","level4",2
88265,10,2.3,3.3,6,756,"lv","true","level4",2
88225,3.4,8.3,10,11,1071,"lv","true","level4",4
88702,4.7,0,4.4,24,500,"a","true","level3",9
88159,6.6,3,3.3,1,696,"lv","true","level3",1
88038,4.7,0,3.3,4,1890,"lv","true","level3",3.2
88135,1.2,10,10,8,822,"rv","true","level2",6
88135,1.2,10,10,8,738,"lv","true","level2",6
88713,5.9,6,8.9,19,5325,"a","true","level4",3
88007,3.4,6,2.2,2,1386,"rv","true","level3",4
87958,4.7,0,3.3,4,2191,"lv","true","level3",4.1
88017,2.8,9.3,10,6,708,"lv","true","level4",4
88014,4.1,5,0,2,600,"lv","true","level4",4.7
87929,10,4,8.9,5,2020,"a","true","level3",5
87929,10,4,8.9,5,1681,"rv","true","level3",4.8
87929,10,4,8.9,5,1511,"lv","true","level3",4.5
87946,1.9,9.3,9.4,7,3562,"rv","true","level4",6
87946,1.9,9.3,9.4,7,4253,"a","true","level4",6
87970,2.5,6.3,2.2,3,600,"lv","true","level4",3
88006,4.7,0,4.4,3,3154,"lv","true","level3",4
88006,4.7,0,4.4,3,3154,"lv","true","level3",4
87918,1.2,10,8.9,4,1788,"a","true","level3",7
87918,1.2,10,8.9,4,1200,"rv","true","level3",6
87899,2.2,9,8.9,2,1031,"lv","true","level3",4
87892,4.4,6.7,5.6,4,1758,"rv","true","level3",5
88080,1.2,10,8.9,8,500,"a","true","level3",3
88081,1.2,10,8.9,8,500,"a","true","level3",4
88082,1.2,10,8.9,8,500,"a","true","level3",5
87910,4.7,4.7,3.3,1,725,"rv","true","level2",6
87911,4.7,4.7,3.3,1,837,"rv","true","level2",2
87882,1.2,9.7,6.7,2,965,"rv","true","level2",3.4
87893,3.4,6,2.2,2,1001,"rv","true","level3",5.9
87893,3.4,6,2.2,2,741,"lv","true","level3",5.1
87885,3.4,7.7,4.4,3,2404,"lv","true","level3",3
87873,4.7,0,2.8,4,1867,"lv","true","level3",5.2
87887,5.9,6,8.9,0,1275,"lv","true","level3",3
87874,4.7,0,3.3,2,1200,"a","true","level3",5
87874,4.7,0,3.3,2,1000,"rv","true","level3",5
87940,4.4,5.7,6.1,2,400,"lv","true","level3",5
87941,4.4,5.7,6.1,2,400,"lv","true","level3",3
87942,4.4,5.7,6.1,2,400,"lv","true","level3",4
87853,1.2,10,8.9,3,1371,"rv","true","level3",3
87915,3.7,5.7,1.1,6,600,"lv","true","level4",5
87959,5.3,5,3.3,6,600,"lv","true","level2",2.3
87960,5.3,5,3.3,6,600,"lv","true","level2",2.1
87961,5.3,5,3.3,6,600,"lv","true","level2",2.9
87962,5.3,5,3.3,6,600,"lv","true","level2",4.3
87963,5.3,5,3.3,6,600,"lv","true","level2",3.3
87856,3.7,8.7,10,4,2048,"lv","true","level4",4
87857,3.7,8.7,10,4,924,"lv","true","level4",3
87858,3.7,8.7,10,4,951,"lv","true","level4",2
87859,3.7,8.7,10,4,490,"lv","true","level4",2
87860,3.7,8.7,10,4,443,"lv","true","level4",2
87843,10,4,8.9,4,2022,"a","true","level3",6.4
87843,10,4,8.9,4,1698,"rv","true","level3",5.6
87843,10,4,8.9,4,1530,"lv","true","level3",5.2
87844,2.8,8.7,6.7,3,656,"lv","true","level2",2
