"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology","pct"
86061,4.7,0,5.6,11,4988,"a","true","level3",28
86061,4.7,0,5.6,11,4009,"rv","true","level3",31
85818,4.1,5.3,0,4,1092,"lv","true","level3",38
85672,4.4,5,6.7,1,2346,"rv","true","level3",42
85655,1.9,9.7,6.7,2,1157,"rv","true","level3",42
85675,4.4,7,8.9,16,812,"a","true","level3",39
85608,1.2,10,8.9,2,1906,"lv","true","level3",51
85591,3.1,7,6.7,2,968,"lv","true","level2",42
85493,1.2,10,8.9,2,1343,"rv","true","level3",41
85483,5.3,5.3,5.6,5,984,"lv","true","level3",41
85733,1.2,10,8.9,17,800,"a","true","level3",33
85482,2.2,9,8.9,4,1012,"lv","true","level3",45
85408,4.4,5,6.7,1,2034,"rv","true","level3",41
85413,1.2,9.3,5.6,3,1007,"rv","true","level4",47
85450,1.6,9.3,7.8,23,421,"rv","true","level4",39
85409,4.1,5.3,0,3,1052,"lv","true","level3",39
85451,1.2,10,8.9,9,1200,"rv","true","level3",39
84963,2.8,9.3,10,7,1068,"rv","true","level2",45
84962,2.8,9.3,10,7,1197,"rv","true","level2",49
84889,4.7,0,5.6,5,1500,"rv","true","level3",45
84859,4.4,5,5.6,4,2018,"rv","true","level3",51
84862,5.9,6,8.9,2,1103,"lv","true","level3",27
84863,5.9,6,8.9,2,897,"lv","true","level3",38
84864,5.9,6,8.9,2,746,"lv","true","level3",34
84865,5.9,6,8.9,2,874,"lv","true","level3",30
84866,5.9,6,8.9,2,620,"lv","true","level3",38
84867,5.9,6,8.9,2,887,"lv","true","level3",34
84828,1.2,10,8.9,7,1000,"a","true","level3",35
84828,1.2,10,8.9,7,1000,"a","true","level3",32
84821,2.2,9,8.9,3,1006,"lv","true","level3",43
84715,4.4,5,6.7,1,2851,"rv","true","level3",43
84684,1.2,9.7,6.7,3,917,"rv","true","level2",37.5
84691,1.2,9.3,5.6,3,1001,"rv","true","level4",50
84871,4.7,0,5.6,10,10000,"a","true","level3",23
84871,4.7,0,5.6,10,10000,"a","true","level3",22
84697,4.7,0,5.6,15,946,"rv","true","level3",46.5
84685,1.2,10,10,5,856,"rv","true","level4",51
84685,1.2,10,10,5,668,"lv","true","level4",51
84599,3.7,6.3,2.2,2,6000,"rv","true","level3",39
84614,4.1,7.3,6.7,8,1002,"lv","true","level4",41.8
84542,0,10,8.9,12,603,"rv","true","level4",46
84542,0,10,8.9,12,603,"lv","true","level4",46
84543,0,10,8.9,12,629,"rv","true","level4",43
84543,0,10,8.9,12,629,"lv","true","level4",45
84544,0,10,8.9,12,616,"rv","true","level4",42
84544,0,10,8.9,12,616,"lv","true","level4",43
84545,0,10,8.9,12,611,"rv","true","level4",43
84545,0,10,8.9,12,611,"lv","true","level4",45
84546,0,10,8.9,12,600,"rv","true","level4",45
84546,0,10,8.9,12,600,"lv","true","level4",47
84547,0,10,8.9,12,603,"rv","true","level4",48
84547,0,10,8.9,12,603,"lv","true","level4",48
84608,2.8,9.3,10,6,1271,"rv","true","level4",48
84616,1.2,10,10,7,908,"rv","true","level2",50
84666,3.4,8,5.6,6,1010,"rv","true","level3",40
84552,3.7,6.3,2.2,2,6000,"rv","true","level3",39
84519,2.2,9,8.9,3,1029,"lv","true","level3",46
84584,3.4,8,5.6,6,2202,"lv","true","level3",47
84584,3.4,8,5.6,6,2605,"rv","true","level3",45
84842,4.1,5.3,0,6,1169,"lv","true","level3",40
84482,3.7,6.3,2.2,2,5000,"rv","true","level3",38
84526,5.3,5,5.6,3,668,"rv","true","level3",38
84467,4.4,5,6.7,0,2116,"rv","true","level3",40
84467,4.4,5,6.7,0,2116,"rv","true","level3",42
84488,1.2,10,8.9,12,1200,"rv","true","level3",39
84439,5,6.3,7.8,5,1850,"a","true","level2",41
84439,5,6.3,7.8,5,1417,"rv","true","level2",40
84425,3.7,6.3,2.2,2,5000,"rv","true","level3",39
84382,1.2,9.3,5.6,3,1007,"rv","true","level4",49
84354,3.7,6.3,0,2,5000,"rv","true","level3",38
84338,5,6.3,0,4,1784,"a","true","level2",33
84338,5,6.3,0,4,1337,"rv","true","level2",37
84294,3.7,6.3,2.2,2,5000,"rv","true","level3",39
84282,2.2,9,0,3,1011,"lv","true","level3",41
84309,5.9,4,0,10,818,"rv","true","level4",34.7
84293,4.1,5.3,0,5,1062,"lv","true","level3",39
84308,1.2,10,0,7,1007,"a","true","level4",50
84308,1.2,10,0,7,868,"rv","true","level4",51
84308,1.2,10,0,7,690,"lv","true","level4",48
84232,3.7,6.3,2.2,2,6000,"rv","true","level3",39
84241,5.3,5.3,0,5,1000,"lv","true","level2",44
84241,5.3,5.3,0,5,1000,"lv","true","level2",43
84225,2.5,8.7,0,4,1000,"rv","true","level4",45
84188,1.2,10,0,4,1097,"rv","true","level3",41
84194,3.7,8.7,0,4,2018,"lv","true","level4",33
84247,1.2,10,0,11,3098,"rv","true","level3",47
84247,1.2,10,0,11,3098,"rv","true","level3",18
84174,3.7,6.3,2.2,2,6000,"rv","true","level3",39
84165,4.4,5,0,1,2103,"rv","true","level3",38
84165,4.4,5,0,1,2103,"rv","true","level3",37
84158,1.2,9.3,0,3,1012,"rv","true","level4",44
84533,4.7,0,5.6,26,20000,"a","true","level3",27
84269,10,2.3,0,6,1000,"a","true","level4",30
84122,3.7,6.3,2.2,2,6000,"rv","true","level3",38
84096,5,6.3,0,6,1701,"a","true","level2",33
84096,5,6.3,0,6,1387,"rv","true","level2",35
84084,3.7,6.3,2.2,2,6000,"rv","true","level3",39
84097,2.2,9,0,3,1022,"lv","true","level3",40
84078,2.8,9.3,0,6,1259,"rv","true","level4",47
86928,5.3,3.7,6.7,1,1316,"lv","true","level3",37.5
86928,5.3,3.7,6.7,1,1316,"lv","true","level3",37.3
84007,3.7,6.3,2.2,2,5000,"rv","true","level3",39
84020,10,4,0,2,2029,"a","true","level3",35.1
84020,10,4,0,2,1667,"rv","true","level3",39.6
84043,4.7,0,0,3,811,"rv","true","level3",35
83991,4.7,4.7,0,1,767,"rv","true","level2",43
86919,5.3,3.7,6.7,2,2765,"lv","true","level3",35.2
86919,5.3,3.7,6.7,2,2765,"lv","true","level3",34.2
83950,5,6.3,0,4,1651,"a","true","level2",31
83950,5,6.3,0,4,1240,"rv","true","level2",34
83961,1.2,10,0,4,1116,"rv","true","level3",40
