"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology","pct"
85451,1.2,10,8.9,9,1200,"rv","true","level3",34
84871,4.7,0,5.6,10,10000,"a","true","level3",18
84871,4.7,0,5.6,10,10000,"a","true","level3",19
84584,3.4,8,5.6,6,2202,"lv","true","level3",42
84584,3.4,8,5.6,6,2605,"rv","true","level3",41
84488,1.2,10,8.9,12,1200,"rv","true","level3",33
84309,5.9,4,0,10,818,"rv","true","level4",29.2
84241,5.3,5.3,0,5,1000,"lv","true","level2",38
84194,3.7,8.7,0,4,2018,"lv","true","level4",32
84247,1.2,10,0,11,3098,"rv","true","level3",31
84165,4.4,5,0,1,2103,"rv","true","level3",37
84165,4.4,5,0,1,2103,"rv","true","level3",38
84158,1.2,9.3,0,3,1012,"rv","true","level4",45
84533,4.7,0,5.6,26,20000,"a","true","level3",23
84078,2.8,9.3,0,6,1259,"rv","true","level4",45
83421,1.2,9.3,0,3,1002,"rv","true","level4",38
83392,5.9,6,0,1,1500,"rv","true","level3",32
83392,5.9,6,0,1,1212,"lv","true","level3",36
83236,1.9,9.3,0,6,4414,"a","true","level4",13
82272,3.7,6.3,0,2,1993,"rv","true","level3",20
