"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
88688,3.4,8,7.2,7,700,"a","false","level3"
88593,3.1,9.3,8.9,4,1073,"lv","false","level4"
88551,1.6,9.7,7.8,4,500,"lv","false","level4"
88458,3.1,9.3,8.9,4,942,"lv","false","level4"
88488,1.2,10,10,8,882,"rv","true","level4"
88488,1.2,10,10,8,798,"lv","true","level4"
88422,4.7,0,4.4,13,1685,"lv","true","level1"
88213,3.1,9.3,8.9,4,1075,"lv","false","level4"
88204,4.7,0,4.4,5,1054,"lv","true","level2"
88204,4.7,0,4.4,5,1054,"lv","true","level2"
88206,4.1,7.3,6.7,6,1000,"lv","false","level4"
88225,3.4,8.3,10,11,1071,"lv","true","level4"
88101,3.1,9.3,8.9,4,969,"lv","false","level4"
88105,2.2,9,8.9,4,1005,"lv","false","level3"
88105,2.2,9,8.9,4,1005,"rv","false","level3"
88006,4.7,0,4.4,3,3154,"lv","true","level3"
88006,4.7,0,4.4,3,3154,"lv","true","level3"
