"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
88794,2.2,9,5.6,5,4180,"lv","false","level1"
88796,2.2,9,5.6,5,1411,"lv","false","level1"
88797,2.2,9,5.6,5,1529,"lv","true","level1"
88799,2.2,9,5.6,5,1674,"lv","false","level1"
88783,3.4,6,2.2,2,1029,"rv","false","level3"
88783,3.4,6,2.2,2,813,"lv","false","level3"
88710,1.2,10,8.9,3,1457,"rv","false","level3"
88710,1.2,10,8.9,3,1314,"lv","false","level3"
88758,1.2,7,3.3,2,600,"lv","false","level3"
88735,3.1,9.3,8.9,4,1031,"lv","false","level4"
88676,4.4,5,6.7,2,2596,"lv","false","level3"
88676,4.4,5,6.7,2,3145,"rv","false","level3"
88759,4.4,5,5.6,2,2010,"rv","false","level3"
88759,4.4,5,5.6,2,1692,"lv","false","level3"
88759,4.4,5,5.6,2,1622,"lv","false","level3"
88708,5,6,5.6,4,600,"lv","true","level4"
88712,1.2,10,10,9,780,"rv","true","level4"
88712,1.2,10,10,9,652,"lv","true","level4"
88633,3.4,6,2.2,2,1079,"rv","false","level3"
88633,3.4,6,2.2,2,803,"lv","false","level3"
88705,4.7,0,3.9,1,5500,"rv","false","level3"
88666,2.5,8.7,3.3,4,1000,"rv","true","level4"
88667,1.9,9.3,9.4,4,2631,"a","false","level4"
88667,1.9,9.3,9.4,4,2226,"rv","false","level4"
88667,1.9,9.3,9.4,4,1714,"lv","false","level4"
88700,3.7,5.7,1.1,6,600,"lv","true","level3"
88590,1.2,10,8.9,1,1414,"rv","false","level3"
88590,1.2,10,8.9,1,1230,"lv","false","level3"
88591,3.1,9.3,8.9,4,1007,"lv","false","level4"
88593,3.1,9.3,8.9,4,1073,"lv","false","level4"
88718,3.4,8,5.6,5,539,"lv","false","level3"
88718,3.4,8,5.6,5,600,"rv","false","level3"
88634,3.4,8.3,7.8,6,4025,"rv","true","level4"
88523,3.4,6,2.2,2,997,"lv","true","level3"
88527,1.2,10,8.9,2,1150,"rv","false","level3"
88527,1.2,10,8.9,2,1032,"lv","false","level3"
88545,4.1,5,0,3,600,"lv","true","level4"
88507,3.1,8,5.6,1,2104,"lv","false","level3"
88482,1.2,10,8.9,2,1463,"rv","false","level3"
88482,1.2,10,8.9,2,1261,"lv","false","level3"
88514,4.1,8.3,8.9,6,3045,"lv","true","level1"
88504,4.1,8,6.7,0,709,"lv","true","level3"
88457,3.1,9.3,8.9,4,953,"lv","false","level4"
88458,3.1,9.3,8.9,4,942,"lv","false","level4"
88418,4.7,4.7,3.3,1,808,"rv","false","level2"
88419,4.7,4.7,3.3,1,759,"rv","false","level2"
88423,3.1,8.7,6.7,3,1005,"lv","false","level2"
88373,4.7,0,3.3,4,1735,"lv","true","level3"
88488,1.2,10,10,8,882,"rv","true","level4"
88488,1.2,10,10,8,798,"lv","true","level4"
88374,2.2,9,8.9,2,1005,"lv","true","level3"
88378,3.4,6,2.2,2,1044,"rv","false","level3"
88378,3.4,6,2.2,2,736,"lv","false","level3"
88395,2.8,9.3,10,5,931,"lv","false","level1"
88397,2.8,9.3,10,5,749,"lv","false","level1"
88414,2.2,9,5.6,5,1077,"lv","true","level1"
88415,2.2,9,5.6,5,1173,"lv","false","level1"
88416,2.2,9,5.6,5,1200,"lv","false","level1"
88471,4.7,0,-1.1,6,416,"lv","true","level3"
