"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
88802,3.4,6,2.2,2,1254,"lv","false","level3"
88803,4.7,0,7.8,34,400,"lv","false","level2"
88804,4.7,0,7.8,36,400,"lv","false","level2"
88793,3.4,6,2.2,2,1223,"lv","false","level3"
88781,4.7,0,3.3,7,600,"lv","false","level3"
88781,4.7,0,3.3,7,600,"lv","false","level3"
88766,4.7,4.7,3.3,1,571,"lv","false","level2"
88767,4.7,4.7,3.3,1,716,"lv","false","level2"
88764,3.4,6,2.2,2,1257,"lv","false","level3"
88778,4.7,0,5,2,1045,"lv","false","level3"
88769,3.4,7.7,4.4,3,788,"lv","false","level3"
88794,2.2,9,5.6,5,4180,"lv","false","level1"
88794,2.2,9,5.6,5,4180,"lv","false","level1"
88795,2.2,9,5.6,5,1440,"lv","false","level1"
88795,2.2,9,5.6,5,1440,"lv","false","level1"
88796,2.2,9,5.6,5,1411,"lv","false","level1"
88796,2.2,9,5.6,5,1411,"lv","false","level1"
88797,2.2,9,5.6,5,1529,"lv","true","level1"
88797,2.2,9,5.6,5,1529,"lv","false","level1"
88798,2.2,9,5.6,5,1171,"lv","false","level1"
88798,2.2,9,5.6,5,1171,"lv","false","level1"
88799,2.2,9,5.6,5,1674,"lv","false","level1"
88799,2.2,9,5.6,5,1674,"lv","false","level1"
88800,2.2,9,5.6,5,2048,"lv","false","level1"
88800,2.2,9,5.6,5,2048,"lv","false","level1"
88801,2.2,9,5.6,5,932,"lv","true","level1"
88801,2.2,9,5.6,5,932,"lv","false","level1"
88779,4.7,0,3.3,6,600,"lv","false","level3"
88779,4.7,0,3.3,6,600,"lv","false","level3"
88780,4.7,0,3.3,6,600,"lv","false","level3"
88780,4.7,0,3.3,6,600,"lv","false","level3"
88772,4.7,0,7.8,8,1000,"lv","false","level2"
88771,4.7,0,7.8,16,400,"lv","false","level2"
88770,4.7,0,7.8,38,400,"lv","false","level2"
88739,3.4,6,2.2,2,1228,"lv","false","level3"
