"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
87572,4.1,5,0,2,600,"lv","true","level4"
87529,1.2,10,8.9,3,1178,"rv","true","level3"
87520,2.2,9,8.9,2,982,"lv","true","level3"
87449,0.6,9.3,7.8,3,1098,"lv","true","level3"
87513,4.7,4.7,3.3,1,568,"rv","true","level2"
87514,4.7,4.7,3.3,1,537,"rv","true","level2"
87512,4.7,4.7,3.3,1,596,"rv","true","level2"
87515,4.7,4.7,3.3,1,548,"rv","true","level2"
87377,1.9,9.7,6.7,1,1174,"rv","true","level4"
87393,1.2,9.3,8.9,3,1210,"rv","true","level3"
87361,1.2,9.7,6.7,1,1370,"rv","true","level2"
87358,5.9,3.3,2.8,4,1000,"lv","true","level4"
87297,1.9,9.3,9.4,1,892,"rv","true","level4"
87297,1.9,9.3,9.4,1,1070,"a","true","level4"
87294,2.8,9.3,10,2,1274,"rv","true","level4"
87276,0.9,8.7,10,0,1011,"lv","true","level3"
87450,0.6,9.3,7.8,2,1109,"lv","true","level3"
86469,0.6,9.3,7.8,5,1241,"rv","true","level3"
86194,1.2,9.7,6.7,4,1000,"rv","true","level2"
86164,1.2,9.7,6.7,3,1000,"rv","true","level2"
86165,1.2,9.7,6.7,3,1000,"rv","true","level2"
86067,1.2,9.7,6.7,2,1000,"rv","true","level2"
86141,1.2,9.7,6.7,2,1000,"rv","true","level2"
86143,1.2,9.7,6.7,2,1000,"rv","true","level2"
85969,1.2,9.7,6.7,1,1225,"rv","true","level2"
85454,1.2,10,8.9,4,1027,"rv","true","level3"
84828,1.2,10,8.9,7,1000,"a","true","level3"
84828,1.2,10,8.9,7,1000,"a","true","level3"
84708,1.2,9.7,6.7,3,1000,"rv","true","level2"
84691,1.2,9.3,5.6,3,1001,"rv","true","level4"
84584,3.4,8,5.6,6,2202,"lv","true","level3"
84584,3.4,8,5.6,6,2605,"rv","true","level3"
84321,1.2,7,0,1,506,"lv","true","level3"
84241,5.3,5.3,0,5,1000,"lv","true","level2"
82298,3.7,7.7,0,7,800,"rv","true","level4"
81437,3.7,7.7,2.8,3,500,"lv","true","level4"
81537,1.2,10,0,15,5050,"rv","true","level3"
79865,5.6,4.3,0,5,900,"lv","true","level2"
79249,1.2,10,0,3,1630,"a","true","level3"
79249,1.2,10,0,3,1630,"a","true","level3"
79249,1.2,10,0,3,1239,"rv","true","level3"
79249,1.2,10,0,3,1239,"rv","true","level3"
