"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
87572,4.1,5,0,2,600,"lv","true","level4"
87582,1.2,9.3,8.9,2,1046,"rv","true","level3"
87583,1.2,9.3,8.9,2,1034,"rv","true","level3"
87584,1.2,9.3,8.9,2,1071,"rv","true","level3"
87585,1.2,9.3,8.9,2,1012,"rv","true","level3"
87529,1.2,10,8.9,3,1178,"rv","true","level3"
87520,2.2,9,8.9,2,982,"lv","true","level3"
87486,4.7,4.7,3.3,1,650,"rv","true","level2"
87798,4.1,7,5.6,5,500,"rv","true","level3"
87436,4.7,0,3.3,6,2100,"lv","true","level3"
87513,4.7,4.7,3.3,1,568,"rv","true","level2"
87514,4.7,4.7,3.3,1,537,"rv","true","level2"
87512,4.7,4.7,3.3,1,596,"rv","true","level2"
87515,4.7,4.7,3.3,1,548,"rv","true","level2"
87377,1.9,9.7,6.7,1,1174,"rv","true","level4"
87393,1.2,9.3,8.9,3,1210,"rv","true","level3"
87361,1.2,9.7,6.7,1,1370,"rv","true","level2"
87358,5.9,3.3,2.8,4,1000,"lv","true","level4"
87297,1.9,9.3,9.4,1,892,"rv","true","level4"
87297,1.9,9.3,9.4,1,1070,"a","true","level4"
87294,2.8,9.3,10,2,1274,"rv","true","level4"
87276,0.9,8.7,10,0,1011,"lv","true","level3"
87450,0.6,9.3,7.8,2,1109,"lv","true","level3"
86502,1.2,9.7,6.7,4,1000,"rv","true","level2"
86469,0.6,9.3,7.8,5,1241,"rv","true","level3"
85969,1.2,9.7,6.7,1,1225,"rv","true","level2"
85454,1.2,10,8.9,4,1027,"rv","true","level3"
84691,1.2,9.3,5.6,3,1001,"rv","true","level4"
84369,5,6,5.6,6,600,"lv","true","level4"
