"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
88794,2.2,9,5.6,5,4180,"lv","false","level1"
88795,2.2,9,5.6,5,1440,"lv","false","level1"
88796,2.2,9,5.6,5,1411,"lv","false","level1"
88797,2.2,9,5.6,5,1529,"lv","true","level1"
88798,2.2,9,5.6,5,1171,"lv","false","level1"
88799,2.2,9,5.6,5,1674,"lv","false","level1"
88800,2.2,9,5.6,5,2048,"lv","false","level1"
88801,2.2,9,5.6,5,932,"lv","true","level1"
88783,3.4,6,2.2,2,1029,"rv","false","level3"
88783,3.4,6,2.2,2,813,"lv","false","level3"
88710,1.2,10,8.9,3,1457,"rv","false","level3"
88710,1.2,10,8.9,3,1314,"lv","false","level3"
88724,5.9,6,8.9,2,620,"lv","false","level3"
88725,5.9,6,8.9,2,1141,"lv","false","level3"
88726,5.9,6,8.9,2,1009,"lv","false","level3"
88727,5.9,6,8.9,2,637,"lv","false","level3"
88728,5.9,6,8.9,2,682,"lv","false","level3"
88729,5.9,6,8.9,2,544,"lv","false","level3"
88730,5.9,6,8.9,2,838,"lv","false","level3"
88731,5.9,6,8.9,2,382,"lv","false","level3"
88732,5.9,6,8.9,2,1649,"lv","false","level3"
88733,5.9,6,8.9,2,641,"lv","false","level3"
88758,1.2,7,3.3,2,600,"lv","false","level3"
88734,3.1,9.3,8.9,4,1328,"lv","false","level4"
88735,3.1,9.3,8.9,4,1031,"lv","false","level4"
88776,3.1,8.7,6.7,5,701,"lv","false","level2"
88676,4.4,5,6.7,2,2596,"lv","false","level3"
88676,4.4,5,6.7,2,3145,"rv","false","level3"
88759,4.4,5,5.6,2,2010,"rv","false","level3"
88759,4.4,5,5.6,2,1692,"lv","false","level3"
88759,4.4,5,5.6,2,1622,"lv","false","level3"
88708,5,6,5.6,4,600,"lv","true","level4"
88664,0,10,8.9,3,857,"rv","false","level4"
88664,0,10,8.9,3,857,"lv","false","level4"
88665,0,10,8.9,3,808,"lv","false","level4"
88665,0,10,8.9,3,808,"rv","false","level4"
88688,3.4,8,7.2,7,700,"a","false","level3"
88690,4.7,0,5.6,8,1193,"lv","false","level3"
