"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
86481,9.7,1.7,3.3,5,1000,"lv","true","level3"
86255,4.7,0,5.6,7,1745,"rv","true","level3"
86059,2.2,9,8.9,2,1015,"lv","true","level3"
85994,4.7,0,10,6,1000,"rv","true","level2"
85994,4.7,0,10,6,1000,"rv","true","level2"
85964,4.7,0,1.1,2,807,"lv","true","level3"
85864,3.4,6,2.2,2,1266,"rv","true","level3"
85835,9.7,1.7,3.3,6,1000,"lv","true","level3"
85676,2.2,9,8.9,2,1029,"lv","true","level3"
85564,1.6,9.7,7.8,4,1000,"lv","true","level4"
85470,9.7,1.7,3.3,6,1000,"lv","true","level3"
85449,5.6,3.7,2.2,7,694,"lv","true","level4"
84889,4.7,0,5.6,5,1500,"rv","true","level3"
84824,9.7,1.7,3.3,4,1000,"lv","true","level3"
84691,1.2,9.3,5.6,3,1001,"rv","true","level4"
84691,1.2,9.3,5.6,3,1001,"rv","true","level4"
84254,9.7,1.7,0,4,1000,"lv","true","level3"
84379,6.6,4.7,4.4,3,1437,"rv","true","level2"
84380,6.6,4.7,4.4,3,1451,"rv","true","level2"
84381,6.6,4.7,4.4,3,1559,"rv","true","level2"
84247,1.2,10,0,11,3098,"rv","true","level3"
84486,5.9,6,8.9,5,1167,"rv","true","level4"
83973,9.7,1.7,0,8,1000,"lv","true","level3"
83290,9.7,1.7,0,5,1000,"lv","true","level3"
82897,2.2,9,0,3,1035,"lv","true","level3"
82897,2.2,9,0,3,1035,"lv","true","level3"
83088,3.4,7.7,0,2,1000,"rv","true","level3"
83088,3.4,7.7,0,2,1000,"rv","true","level3"
83088,3.4,7.7,0,2,1000,"rv","true","level3"
