"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
87582,1.2,9.3,8.9,2,1046,"rv","true","level3"
87583,1.2,9.3,8.9,2,1034,"rv","true","level3"
87584,1.2,9.3,8.9,2,1071,"rv","true","level3"
87585,1.2,9.3,8.9,2,1012,"rv","true","level3"
87529,1.2,10,8.9,3,1178,"rv","true","level3"
87485,4.7,4.7,3.3,1,624,"rv","true","level2"
87798,4.1,7,5.6,5,500,"rv","true","level3"
87513,4.7,4.7,3.3,1,568,"rv","true","level2"
87514,4.7,4.7,3.3,1,537,"rv","true","level2"
87512,4.7,4.7,3.3,1,596,"rv","true","level2"
87515,4.7,4.7,3.3,1,548,"rv","true","level2"
87361,1.2,9.7,6.7,1,1370,"rv","true","level2"
87276,0.9,8.7,10,0,1011,"lv","true","level3"
85450,1.6,9.3,7.8,23,421,"rv","true","level4"
