"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
82196,1.9,9.3,0,7,914,"rv","true","level4"
82196,1.9,9.3,0,7,1103,"a","true","level4"
81694,1.2,9.7,0,1,1380,"rv","true","level2"
81646,3.7,6.3,0,5,3980,"rv","true","level3"
80628,5,6.3,0,3,1572,"a","true","level2"
80628,5,6.3,0,3,1185,"rv","true","level2"
80628,5,6.3,0,3,1572,"a","true","level2"
80628,5,6.3,0,3,1185,"rv","true","level2"
79839,2.2,9,0,3,1054,"rv","true","level3"
79839,2.2,9,0,3,1054,"lv","true","level3"
79821,1.2,10,0,4,1563,"a","true","level3"
79821,1.2,10,0,4,1185,"rv","true","level3"
