"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
84584,3.4,8,5.6,6,2202,"lv","true","level3"
84584,3.4,8,5.6,6,2605,"rv","true","level3"
84526,5.3,5,5.6,3,668,"rv","true","level3"
84488,1.2,10,8.9,12,1200,"rv","true","level3"
84241,5.3,5.3,0,5,1000,"lv","true","level2"
84194,3.7,8.7,0,4,2018,"lv","true","level4"
84165,4.4,5,0,1,2103,"rv","true","level3"
84165,4.4,5,0,1,2103,"rv","true","level3"
84158,1.2,9.3,0,3,1012,"rv","true","level4"
84533,4.7,0,5.6,26,20000,"a","true","level3"
84078,2.8,9.3,0,6,1259,"rv","true","level4"
83308,5.3,5,0,9,675,"rv","true","level3"
83032,5.3,5.3,0,3,1000,"lv","true","level2"
82846,5.6,5.3,0,2,500,"rv","true","level4"
82847,5.6,5.3,0,2,500,"rv","true","level4"
82683,5,4.7,0,3,1250,"rv","true","level3"
82483,1.2,7,0,1,605,"lv","true","level3"
82405,5,4.7,0,3,1125,"lv","true","level3"
82306,1.2,7,0,3,2424,"lv","true","level3"
82186,4.7,4.7,0,1,1056,"rv","true","level2"
82049,1.2,7,0,1,2529,"lv","true","level3"
81646,3.7,6.3,0,5,3980,"rv","true","level3"
79488,5,6.3,0,1,635,"a","true","level2"
78698,1.2,10,0,10,1004,"a","true","level4"
78335,3.7,6.3,0,1,2005,"rv","true","level3"
74995,2.2,9,0,4,1001,"rv","true","level3"
