"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
87520,2.2,9,8.9,2,982,"lv","true","level3"
87513,4.7,4.7,3.3,1,568,"rv","true","level2"
87514,4.7,4.7,3.3,1,537,"rv","true","level2"
87512,4.7,4.7,3.3,1,596,"rv","true","level2"
87515,4.7,4.7,3.3,1,548,"rv","true","level2"
87361,1.2,9.7,6.7,1,1370,"rv","true","level2"
87294,2.8,9.3,10,2,1274,"rv","true","level4"
87276,0.9,8.7,10,0,1011,"lv","true","level3"
87450,0.6,9.3,7.8,2,1109,"lv","true","level3"
82186,4.7,4.7,0,1,1056,"rv","true","level2"
78860,9.7,1.7,0,4,1000,"lv","true","level3"
77982,4.4,5,0,2,1989,"rv","true","level3"
