"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
86061,4.7,0,5.6,11,4988,"a","true","level3"
86061,4.7,0,5.6,11,4009,"rv","true","level3"
85818,4.1,5.3,0,4,1092,"lv","true","level3"
85672,4.4,5,6.7,1,2346,"rv","true","level3"
85655,1.9,9.7,6.7,2,1157,"rv","true","level3"
85675,4.4,7,8.9,16,812,"a","true","level3"
85608,1.2,10,8.9,2,1906,"lv","true","level3"
85591,3.1,7,6.7,2,968,"lv","true","level2"
85493,1.2,10,8.9,2,1343,"rv","true","level3"
85483,5.3,5.3,5.6,5,984,"lv","true","level3"
85733,1.2,10,8.9,17,800,"a","true","level3"
85482,2.2,9,8.9,4,1012,"lv","true","level3"
85408,4.4,5,6.7,1,2034,"rv","true","level3"
85413,1.2,9.3,5.6,3,1007,"rv","true","level4"
85450,1.6,9.3,7.8,23,421,"rv","true","level4"
85409,4.1,5.3,0,3,1052,"lv","true","level3"
85451,1.2,10,8.9,9,1200,"rv","true","level3"
84963,2.8,9.3,10,7,1068,"rv","true","level2"
84962,2.8,9.3,10,7,1197,"rv","true","level2"
84889,4.7,0,5.6,5,1500,"rv","true","level3"
84859,4.4,5,5.6,4,2018,"rv","true","level3"
84862,5.9,6,8.9,2,1103,"lv","true","level3"
84863,5.9,6,8.9,2,897,"lv","true","level3"
84864,5.9,6,8.9,2,746,"lv","true","level3"
84865,5.9,6,8.9,2,874,"lv","true","level3"
84866,5.9,6,8.9,2,620,"lv","true","level3"
84867,5.9,6,8.9,2,887,"lv","true","level3"
84828,1.2,10,8.9,7,1000,"a","true","level3"
84828,1.2,10,8.9,7,1000,"a","true","level3"
84821,2.2,9,8.9,3,1006,"lv","true","level3"
84715,4.4,5,6.7,1,2851,"rv","true","level3"
84684,1.2,9.7,6.7,3,917,"rv","true","level2"
84691,1.2,9.3,5.6,3,1001,"rv","true","level4"
84871,4.7,0,5.6,10,10000,"a","true","level3"
84871,4.7,0,5.6,10,10000,"a","true","level3"
84697,4.7,0,5.6,15,946,"rv","true","level3"
84685,1.2,10,10,5,856,"rv","true","level4"
84685,1.2,10,10,5,668,"lv","true","level4"
84599,3.7,6.3,2.2,2,6000,"rv","true","level3"
84614,4.1,7.3,6.7,8,1002,"lv","true","level4"
84542,0,10,8.9,12,603,"rv","true","level4"
84542,0,10,8.9,12,603,"lv","true","level4"
84543,0,10,8.9,12,629,"rv","true","level4"
84543,0,10,8.9,12,629,"lv","true","level4"
84544,0,10,8.9,12,616,"rv","true","level4"
84544,0,10,8.9,12,616,"lv","true","level4"
84545,0,10,8.9,12,611,"rv","true","level4"
84545,0,10,8.9,12,611,"lv","true","level4"
84546,0,10,8.9,12,600,"rv","true","level4"
84546,0,10,8.9,12,600,"lv","true","level4"
84547,0,10,8.9,12,603,"rv","true","level4"
84547,0,10,8.9,12,603,"lv","true","level4"
84608,2.8,9.3,10,6,1271,"rv","true","level4"
84616,1.2,10,10,7,908,"rv","true","level2"
84666,3.4,8,5.6,6,1010,"rv","true","level3"
84552,3.7,6.3,2.2,2,6000,"rv","true","level3"
84519,2.2,9,8.9,3,1029,"lv","true","level3"
84584,3.4,8,5.6,6,2202,"lv","true","level3"
84584,3.4,8,5.6,6,2605,"rv","true","level3"
84842,4.1,5.3,0,6,1169,"lv","true","level3"
84482,3.7,6.3,2.2,2,5000,"rv","true","level3"
84526,5.3,5,5.6,3,668,"rv","true","level3"
84467,4.4,5,6.7,0,2116,"rv","true","level3"
84467,4.4,5,6.7,0,2116,"rv","true","level3"
84488,1.2,10,8.9,12,1200,"rv","true","level3"
84439,5,6.3,7.8,5,1850,"a","true","level2"
84439,5,6.3,7.8,5,1417,"rv","true","level2"
84425,3.7,6.3,2.2,2,5000,"rv","true","level3"
84382,1.2,9.3,5.6,3,1007,"rv","true","level4"
84354,3.7,6.3,0,2,5000,"rv","true","level3"
84338,5,6.3,0,4,1784,"a","true","level2"
84338,5,6.3,0,4,1337,"rv","true","level2"
84294,3.7,6.3,2.2,2,5000,"rv","true","level3"
84282,2.2,9,0,3,1011,"lv","true","level3"
84309,5.9,4,0,10,818,"rv","true","level4"
84293,4.1,5.3,0,5,1062,"lv","true","level3"
84308,1.2,10,0,7,1007,"a","true","level4"
84308,1.2,10,0,7,868,"rv","true","level4"
84308,1.2,10,0,7,690,"lv","true","level4"
84232,3.7,6.3,2.2,2,6000,"rv","true","level3"
84241,5.3,5.3,0,5,1000,"lv","true","level2"
84241,5.3,5.3,0,5,1000,"lv","true","level2"
84225,2.5,8.7,0,4,1000,"rv","true","level4"
84188,1.2,10,0,4,1097,"rv","true","level3"
84194,3.7,8.7,0,4,2018,"lv","true","level4"
84247,1.2,10,0,11,3098,"rv","true","level3"
84247,1.2,10,0,11,3098,"rv","true","level3"
84174,3.7,6.3,2.2,2,6000,"rv","true","level3"
84165,4.4,5,0,1,2103,"rv","true","level3"
84165,4.4,5,0,1,2103,"rv","true","level3"
84158,1.2,9.3,0,3,1012,"rv","true","level4"
84533,4.7,0,5.6,26,20000,"a","true","level3"
84269,10,2.3,0,6,1000,"a","true","level4"
84122,3.7,6.3,2.2,2,6000,"rv","true","level3"
84096,5,6.3,0,6,1701,"a","true","level2"
84096,5,6.3,0,6,1387,"rv","true","level2"
84084,3.7,6.3,2.2,2,6000,"rv","true","level3"
84097,2.2,9,0,3,1022,"lv","true","level3"
84078,2.8,9.3,0,6,1259,"rv","true","level4"
86928,5.3,3.7,6.7,1,1316,"lv","true","level3"
86928,5.3,3.7,6.7,1,1316,"lv","true","level3"
84007,3.7,6.3,2.2,2,5000,"rv","true","level3"
84020,10,4,0,2,2029,"a","true","level3"
84020,10,4,0,2,1667,"rv","true","level3"
84043,4.7,0,0,3,811,"rv","true","level3"
83991,4.7,4.7,0,1,767,"rv","true","level2"
86919,5.3,3.7,6.7,2,2765,"lv","true","level3"
86919,5.3,3.7,6.7,2,2765,"lv","true","level3"
83950,5,6.3,0,4,1651,"a","true","level2"
83950,5,6.3,0,4,1240,"rv","true","level2"
83961,1.2,10,0,4,1116,"rv","true","level3"
83938,3.7,6.3,2.2,2,5000,"rv","true","level3"
84067,5.3,5.3,0,5,741,"lv","true","level2"
84156,4.1,5.3,0,6,2018,"lv","true","level3"
83421,1.2,9.3,0,3,1002,"rv","true","level4"
83401,3.7,6.3,2.2,2,6000,"rv","true","level3"
83372,5,6.3,0,5,1726,"a","true","level2"
83372,5,6.3,0,5,1306,"rv","true","level2"
83392,5.9,6,0,1,1500,"rv","true","level3"
83392,5.9,6,0,1,1212,"lv","true","level3"
83356,3.7,6.3,0,2,6000,"rv","true","level3"
83433,3.4,8,0,3,2500,"rv","true","level3"
83318,3.7,6.3,0,2,6000,"rv","true","level3"
83316,2.2,9,0,3,1013,"lv","true","level3"
83304,10,4,0,2,2020,"a","true","level3"
83304,10,4,0,2,1663,"rv","true","level3"
83292,5,6.3,0,5,1577,"a","true","level2"
83292,5,6.3,0,5,1172,"rv","true","level2"
83308,5.3,5,0,9,675,"rv","true","level3"
83343,4.4,7,0,11,804,"a","true","level4"
83286,5.6,5.3,0,2,500,"rv","true","level4"
83269,3.7,6.3,0,2,6000,"rv","true","level3"
83260,4.4,5,0,1,2068,"rv","true","level3"
83260,4.4,5,0,1,2068,"rv","true","level3"
83245,1.2,10,0,4,1098,"rv","true","level3"
83236,1.9,9.3,0,6,4414,"a","true","level4"
83218,5,6.3,0,7,1552,"a","true","level2"
83218,5,6.3,0,7,1124,"rv","true","level2"
83253,4.1,8,0,2,639,"lv","true","level3"
83223,1.6,9.7,0,3,500,"rv","true","level4"
86929,5.3,3.7,6.7,3,1057,"lv","true","level3"
83288,1.2,10,0,5,1005,"a","true","level4"
83288,1.2,10,0,5,788,"rv","true","level4"
83209,5.6,5.3,0,2,500,"rv","true","level4"
83171,3.7,6.3,0,2,6000,"rv","true","level3"
83164,5.6,5.3,0,1,500,"rv","true","level4"
83169,4.7,0,0,4,933,"a","true","level2"
83142,2.2,9,0,3,1020,"lv","true","level3"
84155,4.1,5.3,0,6,1063,"lv","true","level3"
83187,1.2,10,0,9,3012,"rv","true","level3"
83113,5,6.3,0,3,2068,"a","true","level2"
83113,5,6.3,0,3,1481,"rv","true","level2"
83099,3.7,6.3,0,2,6000,"rv","true","level3"
83109,3.1,8,0,2,1065,"rv","true","level3"
83117,1.2,7,0,2,2010,"lv","true","level3"
83145,5,6,0,8,977,"lv","true","level3"
83145,5,6,0,8,1120,"rv","true","level3"
83067,1.2,9.7,0,1,1015,"rv","true","level2"
83066,1.2,10,0,4,1087,"rv","true","level3"
83083,2.5,8.7,0,4,1000,"rv","true","level4"
83042,5.6,5.3,0,2,500,"rv","true","level4"
83043,5.6,5.3,0,2,500,"rv","true","level4"
83044,5.6,5.3,0,2,500,"rv","true","level4"
83060,3.7,6.3,0,2,6000,"rv","true","level3"
83031,4.4,5,0,1,2090,"rv","true","level3"
83031,4.4,5,0,1,2090,"rv","true","level3"
83032,5.3,5.3,0,3,1000,"lv","true","level2"
83028,10,4,0,5,2020,"a","true","level3"
83028,10,4,0,5,1679,"rv","true","level3"
83020,2.5,6.3,0,6,600,"lv","true","level4"
83118,1.2,10,0,5,913,"rv","true","level2"
83000,5,6.3,0,3,1918,"a","true","level2"
83000,5,6.3,0,3,1466,"rv","true","level2"
82984,3.7,6.3,0,2,6000,"rv","true","level3"
84316,5.3,5,0,3,1250,"rv","true","level3"
82980,1.6,9.7,0,4,1000,"rv","true","level4"
82983,4.7,4.7,0,1,773,"lv","true","level2"
83022,3.4,8,0,8,1133,"a","true","level3"
82972,4.7,0,0,2,902,"lv","true","level3"
82993,1.2,9.7,0,3,1056,"rv","true","level2"
83002,5.9,4,0,7,841,"rv","true","level4"
82939,3.7,6.3,0,2,6000,"rv","true","level3"
82934,3.1,7,0,2,1012,"lv","true","level2"
82930,5,6.3,0,3,1911,"a","true","level2"
82930,5,6.3,0,3,1496,"rv","true","level2"
82932,5.9,6,0,0,1500,"rv","true","level3"
82932,5.9,6,0,0,1207,"lv","true","level3"
82927,1.2,10,0,5,1011,"rv","true","level3"
82903,3.7,6.3,0,2,6000,"rv","true","level3"
82911,10,4,0,2,1000,"a","true","level3"
82911,10,4,0,2,853,"rv","true","level3"
82924,3.7,6.3,0,2,5700,"rv","true","level3"
82897,2.2,9,0,3,1035,"lv","true","level3"
82897,2.2,9,0,3,1035,"lv","true","level3"
83088,3.4,7.7,0,2,1000,"rv","true","level3"
83088,3.4,7.7,0,2,1000,"rv","true","level3"
82880,1.2,9.7,0,3,1064,"rv","true","level2"
82873,3.1,9.3,0,4,1616,"rv","true","level4"
82856,3.7,6.3,0,2,6000,"rv","true","level3"
82890,4.7,0,0,4,412,"rv","true","level3"
82848,4.4,5,0,1,2004,"rv","true","level3"
82848,4.4,5,0,1,2004,"rv","true","level3"
82876,1.2,7,0,2,2527,"lv","true","level3"
82870,1.2,10,0,10,1010,"a","true","level4"
82870,1.2,10,0,10,833,"rv","true","level4"
82849,5.9,6,0,0,1500,"rv","true","level3"
82849,5.9,6,0,0,1117,"lv","true","level3"
82846,5.6,5.3,0,2,500,"rv","true","level4"
82847,5.6,5.3,0,2,500,"rv","true","level4"
82878,4.7,0,0,9,1000,"rv","true","level3"
82878,4.7,0,0,9,1000,"rv","true","level3"
82832,1.2,10,0,3,1500,"a","true","level3"
82832,1.2,10,0,3,1302,"rv","true","level3"
82827,5,6.3,0,3,2042,"a","true","level2"
82827,5,6.3,0,3,1591,"rv","true","level2"
82828,1.9,9.3,0,6,4415,"a","true","level4"
82828,1.9,9.3,0,6,4415,"a","true","level4"
82816,3.7,6.3,0,2,6000,"rv","true","level3"
82875,4.1,5.3,0,6,1122,"lv","true","level3"
82814,10,4,0,2,1009,"a","true","level3"
82814,10,4,0,2,830,"rv","true","level3"
82786,1.2,10,0,3,1057,"rv","true","level3"
82788,3.7,7.7,0,6,700,"lv","true","level4"
82788,3.7,7.7,0,6,700,"lv","true","level4"
82768,3.7,6.3,0,2,6000,"rv","true","level3"
84315,5.3,5,0,2,1250,"rv","true","level3"
82751,0.9,10,0,5,1006,"a","true","level4"
82751,0.9,10,0,5,900,"rv","true","level4"
83087,5,6.7,0,6,1569,"lv","true","level3"
82727,1.2,10,0,3,1500,"a","true","level3"
82727,1.2,10,0,3,1357,"rv","true","level3"
82741,6.6,4.7,0,4,1208,"rv","true","level2"
82710,5,6.3,0,4,2044,"a","true","level2"
82710,5,6.3,0,4,1577,"rv","true","level2"
83124,4.7,0,0,35,6014,"a","true","level4"
82712,3.7,6.3,0,2,6000,"rv","true","level3"
82705,2.2,9,0,2,1012,"lv","true","level3"
82708,5.6,5.3,0,2,500,"rv","true","level4"
82707,3.4,8,0,8,613,"rv","true","level3"
82688,1.2,9.7,0,1,1100,"rv","true","level2"
82701,5.9,6,0,0,1500,"rv","true","level3"
82701,5.9,6,0,0,1257,"lv","true","level3"
82663,1.9,9.3,0,3,1005,"a","true","level4"
82663,1.9,9.3,0,3,1005,"a","true","level4"
82662,3.7,6.3,0,2,6000,"rv","true","level3"
82677,10,4,0,4,2019,"a","true","level3"
82677,10,4,0,4,1619,"rv","true","level3"
82677,10,4,0,4,2019,"a","true","level3"
82677,10,4,0,4,1619,"rv","true","level3"
82726,4.1,8,0,4,501,"rv","true","level4"
82678,5.3,5.3,0,4,677,"lv","true","level2"
82697,1.2,7,0,2,2500,"lv","true","level3"
82658,5.6,5.3,0,3,500,"rv","true","level4"
82661,5.6,5.3,0,3,500,"rv","true","level4"
82650,4.4,5,0,1,1845,"rv","true","level3"
82650,4.4,5,0,1,1845,"rv","true","level3"
82655,5.6,5.3,0,2,500,"rv","true","level4"
82625,1.2,10,0,3,1027,"rv","true","level3"
82631,5,6.3,0,3,1968,"a","true","level2"
82631,5,6.3,0,3,1485,"rv","true","level2"
82613,3.7,6.3,0,2,6000,"rv","true","level3"
82609,5.6,5.3,0,2,500,"rv","true","level4"
82610,5.6,5.3,0,2,500,"rv","true","level4"
82683,5,4.7,0,3,1250,"rv","true","level3"
82653,4.1,5.3,0,5,1214,"lv","true","level3"
82564,3.7,6.3,0,2,5000,"rv","true","level3"
82557,5.9,6,0,0,1500,"rv","true","level3"
82557,5.9,6,0,0,1180,"lv","true","level3"
82562,1.2,7,0,1,600,"lv","true","level2"
82533,5,6.3,0,3,2000,"a","true","level2"
82533,5,6.3,0,3,1562,"rv","true","level2"
82535,3.1,7,0,4,971,"lv","true","level2"
82516,3.7,6.3,0,2,5000,"rv","true","level3"
82492,2.2,9,0,2,1007,"lv","true","level3"
82483,1.2,7,0,1,605,"lv","true","level3"
82493,1.2,7,0,1,2550,"lv","true","level3"
82471,3.1,9.3,0,4,1600,"rv","true","level4"
82514,3.7,6.3,0,2,5000,"rv","true","level3"
82451,4.4,5,0,1,2905,"rv","true","level3"
82451,4.4,5,0,1,2905,"rv","true","level3"
82470,1.2,10,0,9,1004,"a","true","level4"
82470,1.2,10,0,9,863,"rv","true","level4"
82424,5,6.3,0,5,1978,"a","true","level2"
82424,5,6.3,0,5,1509,"rv","true","level2"
82450,5.9,6,0,0,1500,"rv","true","level3"
82450,5.9,6,0,0,1250,"lv","true","level3"
82425,1.2,10,0,4,1060,"rv","true","level3"
82453,1.9,9.3,0,6,4410,"a","true","level4"
82453,1.9,9.3,0,6,4410,"a","true","level4"
82408,3.7,6.3,0,2,5000,"rv","true","level3"
82402,1.2,9.7,0,2,1153,"rv","true","level2"
82379,3.1,9.3,0,4,1635,"rv","true","level4"
82359,3.7,6.3,0,2,5000,"rv","true","level3"
82405,5,4.7,0,3,1125,"lv","true","level3"
82344,5,6.3,0,3,2116,"a","true","level2"
82344,5,6.3,0,3,1621,"rv","true","level2"
82349,2.8,9.3,0,10,1452,"rv","true","level2"
82321,3.7,6.3,0,2,5000,"rv","true","level3"
82337,1.2,9.7,0,2,1025,"rv","true","level2"
82306,1.2,7,0,3,2424,"lv","true","level3"
82279,1.2,10,0,4,1014,"rv","true","level3"
82279,1.2,10,0,4,1014,"rv","true","level3"
82289,1.2,10,0,5,1000,"a","true","level3"
82298,3.7,7.7,0,7,800,"rv","true","level4"
82269,1.2,9.7,0,1,1060,"rv","true","level2"
82273,3.7,6.3,0,2,6000,"rv","true","level3"
82259,2.2,9,0,2,1023,"lv","true","level3"
82299,3.4,8.7,0,9,680,"a","true","level4"
82299,3.4,8.7,0,9,590,"rv","true","level4"
82258,4.1,8.3,0,6,7512,"rv","true","level1"
82258,4.1,8.3,0,6,5149,"lv","true","level1"
82237,5.9,6,0,0,1500,"rv","true","level3"
82237,5.9,6,0,0,1102,"lv","true","level3"
82226,3.7,6.3,0,2,6000,"rv","true","level3"
82251,5,6.3,0,3,2228,"a","true","level2"
82251,5,6.3,0,3,1717,"rv","true","level2"
82257,5.3,3.3,0,9,608,"lv","true","level4"
82216,4.4,5,0,1,1838,"rv","true","level3"
82216,4.4,5,0,1,1838,"rv","true","level3"
82212,3.1,9.3,0,5,1429,"rv","true","level4"
82196,1.9,9.3,0,7,887,"rv","true","level4"
82196,1.9,9.3,0,7,1101,"a","true","level4"
82189,3.7,6.3,0,2,6000,"rv","true","level3"
82186,4.7,4.7,0,1,1056,"rv","true","level2"
82213,3.4,8,0,9,1000,"rv","true","level3"
82127,5,6.3,0,3,2194,"a","true","level2"
82127,5,6.3,0,3,1655,"rv","true","level2"
82129,1.2,10,0,4,1063,"rv","true","level3"
82144,3.4,8,0,7,800,"rv","true","level3"
82113,3.7,6.3,0,2,6000,"rv","true","level3"
82105,5.9,6,0,1,1500,"rv","true","level3"
82105,5.9,6,0,1,1139,"lv","true","level3"
82086,3.7,6.3,0,2,6000,"rv","true","level3"
82067,2.2,9,0,2,1024,"lv","true","level3"
82042,5,6.3,0,4,2288,"a","true","level2"
82042,5,6.3,0,4,1676,"rv","true","level2"
82031,3.7,6.3,0,2,6000,"rv","true","level3"
82030,1.2,9.7,0,2,1015,"rv","true","level2"
82049,1.2,7,0,1,2529,"lv","true","level3"
82046,1.2,10,0,11,1000,"a","true","level4"
82046,1.2,10,0,11,790,"rv","true","level4"
82015,4.4,5,0,1,2050,"rv","true","level3"
82015,4.4,5,0,1,2050,"rv","true","level3"
81997,1.2,10,0,3,1500,"a","true","level3"
81997,1.2,10,0,3,1314,"rv","true","level3"
82012,5.9,6,0,0,2000,"rv","true","level3"
82012,5.9,6,0,0,1458,"lv","true","level3"
82001,1.2,10,0,4,1028,"rv","true","level3"
81991,3.7,6.3,0,2,6000,"rv","true","level3"
82054,4.7,0,0,3,500,"lv","true","level3"
81953,3.7,6.3,0,2,7500,"rv","true","level3"
81967,3.7,8,0,3,618,"v","true","level2"
81980,4.4,5.7,0,6,1035,"lv","true","level4"
83095,3.4,7.7,0,2,1000,"rv","true","level3"
81921,3.7,6.3,0,2,8000,"rv","true","level3"
81878,1.2,10,0,4,1041,"rv","true","level3"
81858,3.7,6.3,0,2,7000,"rv","true","level3"
81853,4.4,5,0,1,1851,"rv","true","level3"
81853,4.4,5,0,1,1851,"rv","true","level3"
81854,2.2,9,0,2,1021,"lv","true","level3"
81854,2.2,9,0,2,1021,"rv","true","level3"
81806,3.7,6.3,0,2,7000,"rv","true","level3"
81807,1.6,9.7,0,4,1000,"rv","true","level4"
81772,5.9,6,0,0,1500,"rv","true","level3"
81772,5.9,6,0,0,1162,"lv","true","level3"
81768,1.2,10,0,4,1635,"a","true","level3"
81768,1.2,10,0,4,1204,"rv","true","level3"
