"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
84488,1.2,10,8.9,12,1200,"rv","true","level3"
84241,5.3,5.3,0,5,1000,"lv","true","level2"
84194,3.7,8.7,0,4,2018,"lv","true","level4"
84165,4.4,5,0,1,2103,"rv","true","level3"
84165,4.4,5,0,1,2103,"rv","true","level3"
84158,1.2,9.3,0,3,1012,"rv","true","level4"
84533,4.7,0,5.6,26,20000,"a","true","level3"
84078,2.8,9.3,0,6,1259,"rv","true","level4"
83421,1.2,9.3,0,3,1002,"rv","true","level4"
83316,2.2,9,0,3,1013,"lv","true","level3"
83308,5.3,5,0,9,675,"rv","true","level3"
83215,4.7,0,0,6,895,"lv","true","level3"
83215,4.7,0,0,6,895,"lv","true","level3"
84316,5.3,5,0,3,1250,"rv","true","level3"
83022,3.4,8,0,8,1133,"a","true","level3"
82915,3.7,6.3,0,3,1961,"rv","true","level3"
83088,3.4,7.7,0,2,1000,"rv","true","level3"
83088,3.4,7.7,0,2,1000,"rv","true","level3"
82683,5,4.7,0,3,1250,"rv","true","level3"
82405,5,4.7,0,3,1125,"lv","true","level3"
81646,3.7,6.3,0,5,3980,"rv","true","level3"
77168,4.4,5,0,1,1688,"rv","true","level3"
